a	art.—
avert	vt.そらす@vt.避ける
averted	vt.そらした@vt.防いだ
avery	n.エイブリー
aves	n.鳥類
avg	n.平均
avian	a.鳥類の@a.鳥の
aviary	n.鳥小屋@n.大型鳥籠
aviation	n.航空
aviator	n.飛行士@n.航空家
aviators	n.飛行士（複数形）
avid	a.熱心な@a.熱望する
avignon	n.アヴィニョン
avila	n.アビラ
avion	n.飛行機
avionics	n.航空電子工学
avis	n.アビス
avn	n.AVN
avo	n.アボカド
avocado	n.アボカド
avocados	n.アボカド（複数形）
avoid	v.避ける@v.回避する
avoidable	a.回避可能な@a.避けられる
avoidance	n.回避@n.避けること
avoided	v.避けた@v.回避した
avoiding	v.避ける@v.回避する
avoids	v.避ける@v.回避する
avoir	v.持っている
avon	n.エイボン
avs	n.AVS
await	vt.待つ@vt.待ち受ける
awaited	v.待った@v.期待した
awaiting	v.待つ@v.待ち受ける
awaits	v.待つ@v.待ち受ける
awake	a.起きている@v.目覚める
awaken	v.目覚めさせる@v.気づかせる
awakened	v.目覚めた@v.呼び起こした
awakening	n.目覚め@v.目覚める
awakenings	n.目覚め@n.覚醒
awakens	vt.目覚めさせる@vi.目が覚める
award	n.賞@v.授与する
awarded	v.授与した@v.与えた
awardees	n.受賞者
awarding	v.授与する@v.与える
awards	n.賞
aware	a.気づいている@a.意識している
awareness	n.意識@n.認識
awash	a.水浸しの@a.あふれて
away	ad.離れて@a.離れた
awe	n.畏敬@vt.畏敬の念を抱かせる
awed	a.畏敬の念を抱いた@vt.畏怖させた
awesome	a.素晴らしい@a.畏敬の念を起こさせる
awful	a.ひどい@a.恐ろしい
awfully	ad.ひどく@ad.非常に
awhile	ad.しばらくの間
awkward	a.不器用な@a.気まずい
awkwardly	ad.ぎこちなく@ad.気まずく
awl	n.錐
awn	n.芒@n.のぎ
awning	n.日よけ@n.ひさし
awnings	n.日よけ@n.ひさし
awoke	v.目覚めた
awol	a.無断欠勤の@ad.無断で
awry	ad.曲がって@a.ゆがんだ
axe	n.斧@vt.削減する
axes	n.軸@n.斧
axial	a.軸の@a.軸方向の
axillary	a.腋窩の@a.葉腋の
axiom	n.公理@n.自明の理
axiomatic	a.公理的な@a.自明の
axioms	n.公理@n.自明の理
axis	n.軸@n.枢軸
axle	n.車軸@n.アクスル
axles	n.車軸@n.軸
axon	n.軸索
axons	n.軸索
ayala	n.アヤラ
ayatollah	n.アヤトラ
aye	int.はい@ad.賛成
ayer	n.エアー
ayers	n.エアーズ
ayes	n.賛成票@int.はい
aylesbury	n.エールズベリー
ayr	n.エア
ayrshire	n.エアシャー
ayurveda	n.アーユルヴェーダ
azalea	n.ツツジ@n.アザレア
azerbaijan	n.アゼルバイジャン
azerbaijani	a.アゼルバイジャンの@n.アゼルバイジャン人
azide	n.アジド
azimuth	n.方位角
azo	a.アゾの
azores	n.アゾレス諸島
aztec	n.アステカ@a.アステカの
aztecs	n.アステカ族
azure	n.空色@a.紺碧の
baa	n.メーメー@v.メーメー鳴く
baal	n.バアル
baba	n.ババ@n.お婆さん
babbitt	n.バビット@n.ホワイトメタル
babble	v.ぺちゃくちゃしゃべる@n.おしゃべり
babbler	n.おしゃべりな人@n.チメドリ
babbling	n.せせらぎ@vi.喃語を話す
babe	n.赤ちゃん
babel	n.バベル@n.喧騒
babes	n.赤ちゃん
babies	n.赤ちゃん@n.ベビー
baboon	n.ヒヒ
baby	n.赤ちゃん@n.ベビー
babylon	n.バビロン
babylonian	a.バビロニアの@n.バビロニア人
babysitter	n.ベビーシッター
babysitters	n.ベビーシッター
babysitting	n.ベビーシッター@v.子守する
bacardi	n.バカルディ
baccalaureate	n.学士号@n.卒業礼拝
baccarat	n.バカラ
bacchus	n.バッカス
bach	n.バッハ
bachelor	n.独身男性@n.学士
bachelorette	n.独身女性
bachelors	n.独身男性@n.学士
bacillus	n.桿菌@n.バチルス
back	n.背中@ad.後ろへ
backbone	n.背骨@n.根幹
backdoor	n.裏口@a.裏口の
backdrop	n.背景@n.背景幕
backdrops	n.背景幕@n.背景
backed	a.裏打ちされた@v.支援した
backer	n.後援者@n.支持者
backers	n.後援者@n.出資者
backfill	n.埋め戻し@vt.埋め戻す
backfire	vi.裏目に出る@n.逆火
backflow	n.逆流
backgammon	n.バックギャモン
background	n.背景@n.経歴
backgrounder	n.背景説明@n.解説資料
backgrounds	n.背景@n.経歴
backhand	n.バックハンド@a.裏返しの
backhoe	n.バックホー
backing	n.支援@n.裏打ち
backlash	n.反発@n.反動
backlight	n.バックライト@vt.逆光で照らす
backlog	n.未処理分@n.滞貨
backpack	n.バックパック@n.リュックサック
backpacker	n.バックパッカー
backpackers	n.バックパッカー
backpacking	n.バックパッキング@n.リュック旅行
backpacks	n.バックパック@n.リュックサック
backrest	n.背もたれ
backroom	n.奥の部屋@a.舞台裏の
backs	n.背中@v.支援する@v.後退する
backseat	n.後部座席@a.背後の
backside	n.裏側@n.お尻
backslash	n.バックスラッシュ
backspace	n.バックスペース@vi.後退する
backstage	ad.舞台裏で@a.舞台裏の
backstory	n.背景事情@n.過去の経緯
backstreet	n.裏通り@a.裏通りの
backstroke	n.背泳ぎ
backtrack	vi.引き返す@vi.撤回する
backtracking	n.バックトラック@vi.引き返す
backup	n.バックアップ@a.予備の
backups	n.バックアップ
backus	n.バッカス
backward	a.後方の@ad.後ろへ
backwards	ad.後ろへ@a.後向きの
backwash	n.逆流@n.悪影響
backwater	n.淀み@n.辺鄙な所
backwaters	n.よどみ@n.僻地
backwoods	n.奥地@n.僻地@a.田舎の
backyard	n.裏庭
bacon	n.ベーコン
bacteria	n.細菌@n.バクテリア
bacterial	a.細菌の@a.バクテリアの
bacteriol	n.細菌学
bacteriological	a.細菌学の
bacteriology	n.細菌学
bacteriophage	n.バクテリオファージ
bacterium	n.細菌
bad	a.悪い
bade	v.命じた@v.告げた
baden	n.バーデン
badge	n.バッジ@n.記章
badger	n.アナグマ@vt.しつこく悩ます
badgers	n.アナグマ@vt.しつこくせがむ
badges	n.バッジ@n.記章
badlands	n.バッドランド@n.荒地
badly	ad.ひどく@ad.悪く
badminton	n.バドミントン
badness	n.悪さ@n.劣悪
baez	n.バエズ
baffin	n.バフィン
baffle	vt.当惑させる@n.邪魔板
baffled	v.困惑させた@a.当惑した
baffles	vt.困惑させる@n.邪魔板
baffling	a.困惑させる@a.理解しがたい
bag	n.バッグ@n.袋
bagel	n.ベーグル
bagels	n.ベーグル
baggage	n.手荷物@n.バゲージ
bagged	v.袋に入れた@a.袋入りの
bagging	n.袋詰め@n.袋地
baggy	a.だぶだぶの@a.ゆったりした
baghdad	n.バグダッド
bagpipe	n.バグパイプ
bagpipes	n.バグパイプ
bags	n.バッグ
baguette	n.バゲット
bah	int.ふん@int.ばかばかしい
bahama	n.バハマ
bahamas	n.バハマ
bahamian	a.バハマの@n.バハマ人
bahia	n.バイーア
bahrain	n.バーレーン
bahraini	a.バーレーンの@n.バーレーン人
baht	n.バーツ
baikal	n.バイカル
bail	n.保釈金@vt.保釈する@v.汲み出す
bailey	n.ベイリー
baileys	n.ベイリーズ
bailiff	n.執行吏@n.管財人
baird	n.ベアード
bait	n.餌@vt.餌をつける
baiting	n.餌付け@vt.いじめる
baits	n.餌@v.餌をつける
bake	v.焼く@n.焼き菓子
baked	a.焼いた@v.焼いた
bakelite	n.ベークライト
baker	n.パン屋@n.ベイカー
bakeries	n.パン屋@n.ベーカリー
bakers	n.パン屋
bakersfield	n.ベーカーズフィールド
bakery	n.パン屋@n.ベーカリー
baking	n.ベーキング@v.焼く
baku	n.バクー
bal	n.バル
bala	n.バラ
balance	n.バランス@n.残高@v.釣り合わせる
balanced	a.バランスのとれた@v.バランスをとった
balancer	n.平衡装置@n.バランサー
balances	n.バランス@n.残高@v.均衡をとる
balancing	v.バランスをとる@n.均衡
balboa	n.バルボア
balconies	n.バルコニー
balcony	n.バルコニー@n.2階席
bald	a.禿げた@a.はげの
balding	a.はげかけた
baldness	n.はげ@n.禿頭
baldwin	n.ボールドウィン
baldy	n.はげ頭の人
bale	n.俵@n.ベール
balearic	a.バレアレス諸島の
balenciaga	n.バレンシアガ
bales	n.俵@n.梱包
balfour	n.バルフォア
bali	n.バリ
balinese	a.バリ島の@n.バリ人
balkan	a.バルカンの
balkans	n.バルカン半島
ball	n.ボール@n.舞踏会
ballad	n.バラード@n.民謡
ballads	n.バラード@n.民謡
ballarat	n.バララット
ballard	n.バラード
ballast	n.バラスト@n.底荷
ballasts	n.バラスト@n.安定させるもの
ballerina	n.バレリーナ
ballet	n.バレエ
ballets	n.バレエ
ballistic	a.弾道の@a.弾道学の
ballistics	n.弾道学
ballon	n.バロン@n.気球
balloon	n.風船@n.バルーン
ballooning	n.気球乗り@v.膨らむ
balloons	n.風船@n.バルーン
ballot	n.投票@n.投票用紙
balloting	n.投票@vi.くじを引く
ballots	n.投票用紙@n.投票
ballpark	n.野球場@a.概算の
ballpoint	n.ボールペン
ballroom	n.舞踏室@n.ダンスホール
balls	n.ボール@n.球
bally	a.いまいましい@ad.ひどく
ballymena	n.バリーミーナ
balm	n.香油@n.鎮痛剤
balmoral	n.バルモラル
balms	n.香油@n.鎮痛剤
balsa	n.バルサ
balsam	n.バルサム@n.香油
balsamic	a.バルサムの@a.香油の
baltic	a.バルト海の@n.バルト海
baltimore	n.ボルチモア
balzac	n.バルザック
bamako	n.バマコ
bamberg	n.バンベルク
bambi	n.バンビ
bambino	n.赤ちゃん@n.幼児
bamboo	n.竹
ban	n.禁止@vt.禁止する
banach	n.バナッハ
banal	a.陳腐な@a.ありふれた
banana	n.バナナ
bananas	n.バナナ
banbury	n.バンベリー
banc	n.法廷
bancroft	n.バンクロフト
band	n.バンド@n.帯
banda	n.バンダ
bandage	n.包帯@v.包帯を巻く
bandages	n.包帯@v.包帯を巻く
bandana	n.バンダナ
bandanas	n.バンダナ（複数形）
banded	a.縞模様の@v.団結した
bandicoot	n.バンディクート
banding	n.縞模様@v.帯で縛る
bandit	n.山賊@n.盗賊
bandits	n.山賊@n.盗賊
bands	n.バンド
bandung	n.バンドン
bandwagon	n.勝ち馬@n.流行
bandwidth	n.帯域幅@n.バンド幅
bandy	vt.やり取りする@a.外反した
bane	n.破滅のもと@n.悩みの種
banff	n.バンフ
bang	n.爆発音@v.強く打つ
bangalore	n.バンガロール
banged	v.叩いた@v.ぶつけた
banger	n.爆竹@n.ソーセージ
banging	n.叩く音@a.激しい
bangkok	n.バンコク
bangladesh	n.バングラデシュ
bangladeshi	n.バングラデシュ人@a.バングラデシュの
bangle	n.バングル@n.腕輪
bangles	n.バングル@n.腕輪
bangor	n.バンゴー
bangs	n.前髪@v.バンと鳴る
banish	vt.追放する@vt.払いのける
banished	v.追放した@a.追放された
banjo	n.バンジョー
banjos	n.バンジョー
bank	n.銀行@n.土手
bankcard	n.銀行カード
banked	a.傾斜した@v.預金した
banker	n.銀行家@n.銀行員
bankers	n.銀行家@n.銀行員
banking	n.銀行業務@a.銀行の
banknote	n.紙幣@n.銀行券
banknotes	n.紙幣@n.銀行券
bankroll	n.資金@v.資金を提供する
bankrupt	a.破産した@n.破産者@vt.破産させる
bankruptcies	n.破産@n.倒産
bankruptcy	n.破産@n.倒産
banks	n.銀行
banned	a.禁止された@v.禁止した
banner	n.バナー@n.旗
banners	n.バナー@n.旗
banning	v.禁止する@n.禁止
bannister	n.手すり@n.バニスター
banquet	n.宴会@n.晩餐会
banqueting	n.宴会@a.宴会用の
banquets	n.宴会@n.晩餐会
bans	n.禁止@v.禁止する
banshee	n.バンシー@n.泣き女
banshees	n.バンシー（複数形）
bantam	n.バンタム@a.小型の
banter	n.冗談@vi.軽口をたたく
banyan	n.バンヤン@n.ベンガルボダイジュ
banzai	int.万歳@n.バンザイ突撃
bap	n.バップ@n.丸パン
baptised	vt.洗礼を施した@a.洗礼を受けた
baptism	n.洗礼
baptismal	a.洗礼の@a.命名の
baptisms	n.洗礼
baptist	n.バプテスト派@a.バプテストの
baptiste	n.バティスト
baptists	n.バプテスト派
baptized	v.洗礼を施した@v.命名した
bar	n.バー@n.棒
barack	n.バラク
barb	n.とげ@n.返し
barbados	n.バルバドス
barbara	n.バーバラ
barbarian	n.野蛮人@a.野蛮な
barbarians	n.野蛮人@n.未開人
barbaric	a.野蛮な@a.未開の
barbary	n.バーバリ
barbecue	n.バーベキュー
barbecued	a.バーベキューした@vt.バーベキューで焼いた
barbecues	n.バーベキュー@v.バーベキューする
barbed	a.有刺の@a.とげのある
barbell	n.バーベル
barbells	n.バーベル
barbeque	n.バーベキュー
barber	n.床屋@n.理髪師
barbera	n.バルベーラ
barbers	n.理髪師@n.床屋
barbershop	n.理髪店@n.床屋
barbican	n.城門楼@n.望楼
barbie	n.バービー
barbiturates	n.バルビツール酸塩（複数形）
barbour	n.バーバー
barbra	n.バーブラ
barbs	n.あご@n.とげ@n.皮肉
barbuda	n.バーブーダ
barca	n.バルサ
barcelona	n.バルセロナ
barclay	n.バークレイ
barclays	n.バークレイズ
bard	n.吟遊詩人
bards	n.吟遊詩人
bare	a.裸の@a.むき出しの
bareback	ad.裸馬で@a.裸馬の
barefoot	a.裸足の@ad.裸足で
bareilly	n.バレーリー
barely	ad.かろうじて@ad.ほとんど〜ない
barents	n.バレンツ
barf	vi.吐く@n.嘔吐
barfly	n.酒場の常連
bargain	n.バーゲン@n.取引@v.交渉する
bargained	vi.交渉した@vt.取り決めた
bargaining	n.交渉@n.取引
bargains	n.お買い得品@n.特売品
barge	n.はしけ@vi.割り込む
barges	n.はしけ@vi.押し入る
bari	n.バーリ
baring	vt.さらけ出す@n.ベアリング
barista	n.バリスタ
baritone	n.バリトン
barium	n.バリウム
bark	n.吠え声@v.吠える@n.樹皮
barked	vi.吠えた@vt.怒鳴った
barker	n.バーカー@n.客引き
barking	n.吠える@a.吠えている
barkley	n.バークリー
barks	n.吠え声@vi.吠える
barley	n.大麦
barlow	n.バーロー
barm	n.ビール酵母
barman	n.バーテンダー
barn	n.納屋@n.物置
barnabas	n.バルナバ
barnaby	n.バーナビー
barnard	n.バーナード
barnes	n.バーンズ
barnet	n.バーネット
barnett	n.バーネット
barney	n.バーニー
barns	n.納屋@n.物置
barnsley	n.バーンズリー
barnum	n.バーナム
barnyard	n.納屋の庭@a.農場の
baroda	n.バローダ
barometer	n.気圧計@n.指標
barometers	n.気圧計@n.バロメーター
barometric	a.気圧の@a.気圧計の
baron	n.男爵@n.実力者
baroness	n.男爵夫人@n.女男爵
barons	n.男爵@n.大物
barony	n.男爵領@n.男爵の位
baroque	a.バロックの@n.バロック様式
barr	n.バー
barrack	n.兵舎@vt.野次る
barracks	n.兵舎@n.宿舎
barracuda	n.バラクーダ@n.オニカマス
barrage	n.弾幕@n.連発
barre	n.バー
barred	v.禁止した@a.禁止された
barrel	n.樽@n.バレル
barrels	n.樽@n.バレル
barren	a.不毛の@a.実りのない
barrera	n.バレラ
barrett	n.バレット
barrette	n.バレッタ@n.髪留め
barricade	n.バリケード@vt.バリケードを築く
barricades	n.バリケード@vt.バリケードで囲む
barrie	n.バリー
barrier	n.障壁@n.バリア
barriers	n.障壁@n.バリア
barring	prep.～を除いて@v.遮る
barrio	n.バリオ@n.スペイン語圏居住区
barrios	n.バリオ@n.スペイン語圏地区
barrister	n.法廷弁護士@n.バリスター
barristers	n.法廷弁護士
barron	n.バロン
barros	n.バロス
barrow	n.手押し車@n.古墳
barrows	n.手押し車@n.古墳
barry	n.バリー
barrymore	n.バリモア
bars	n.バー@n.棒
bart	n.バート
bartender	n.バーテンダー
bartenders	n.バーテンダー
barter	n.物々交換@v.物々交換する
barth	n.バース
bartholomew	n.バーソロミュー
bartlett	n.バートレット
barton	n.バートン
baruch	n.バルーク
baryon	n.バリオン
basal	a.基底の@a.基本的な
basalt	n.玄武岩
base	n.基盤@n.基地@v.基づかせる
baseball	n.野球
baseballs	n.野球ボール
baseboard	n.幅木@n.台板
based	a.基づいた@a.〜に拠点を置く
basel	n.バーゼル
baseless	a.根拠のない@a.根も葉もない
baseline	n.ベースライン@n.基準線
baselines	n.基準線@n.ベースライン
baseman	n.塁手
basement	n.地下室@n.地階
basements	n.地下室
bases	n.基地@n.基盤@n.塩基
bash	n.パーティー@vt.殴る@n.バッシュ
bashing	n.叩くこと@n.激しい批判
basic	a.基本的な@n.基本
basically	ad.基本的に
basics	n.基本@n.基礎
basie	n.ベイシー
basil	n.バジル
basildon	n.バジルドン
basilica	n.バシリカ@n.大聖堂
basin	n.盆地@n.洗面器
basing	v.基づかせる@n.基地
basins	n.流域@n.盆地
basis	n.基礎@n.根拠
bask	vi.日光浴する@vi.浸る
baskerville	n.バスカヴィル
basket	n.バスケット@n.かご
basketball	n.バスケットボール
baskets	n.バスケット@n.かご
basking	v.日向ぼっこする@v.浴する
basque	n.バスク@a.バスクの
basques	n.バスク人@n.バスク語
basra	n.バスラ
bass	n.バス@n.低音
basses	n.バス@n.低音
basset	n.バセットハウンド
bassinet	n.かご型ベビーベッド
bassinets	n.かご型ベビーベッド
bassist	n.ベーシスト
basso	n.バス歌手@n.低音
bassoon	n.ファゴット@n.バスーン
bast	n.靭皮@n.樹皮繊維
bastard	n.私生児@n.嫌なやつ
bastards	n.ろくでなし@n.私生児
bastille	n.バスティーユ
bastion	n.砦@n.堅固な拠点
bat	n.バット@n.コウモリ
batavia	n.バタビア
batch	n.バッチ@n.一群
batches	n.バッチ@n.ひとまとまり
batching	n.バッチ処理@vt.一括する
bate	vt.和らげる@vt.減らす
bateau	n.平底船
bates	n.ベイツ
bath	n.風呂@n.入浴
bathe	vt.入浴させる@vi.入浴する
bathed	v.入浴した@v.浸した
bathing	n.入浴@n.水浴び
bathrobe	n.バスローブ
bathrobes	n.バスローブ
bathroom	n.浴室@n.トイレ
bathrooms	n.浴室@n.トイレ
baths	n.風呂@n.浴室
bathtub	n.浴槽@n.バスタブ
bathtubs	n.浴槽
bathurst	n.バサースト
bathymetry	n.水深測量
batik	n.バティック@n.ろうけつ染め
batista	n.バティスタ
batman	n.バットマン
baton	n.バトン@n.指揮棒
batons	n.バトン@n.指揮棒
bats	n.コウモリ@n.バット
batsman	n.打者@n.バッツマン
batt	n.バット@n.綿
battalion	n.大隊
battalions	n.大隊@n.大群
batted	vt.打った@vi.バットを振った
batten	n.板@vt.打ち付ける@vi.太る
batter	n.打者@n.生地@vt.打つ
battered	a.傷ついた@v.殴打した
batteries	n.バッテリー
battering	vt.打ちのめす@n.乱打
batters	n.打者@n.衣@vt.打つ
battery	n.バッテリー@n.電池
batting	n.バッティング@n.打撃
battle	n.戦い@v.戦う
battled	v.戦った@v.闘った
battlefield	n.戦場
battlefields	n.戦場
battlefront	n.戦線@n.最前線
battleground	n.戦場@n.争点
battlegrounds	n.戦場（複数形）
battles	n.戦い@n.戦闘@v.戦う
battleship	n.戦艦
battleships	n.戦艦
battling	v.戦う@a.戦闘中の
batty	a.気違いじみた@a.変わった
baud	n.ボー
baudelaire	n.ボードレール
bauer	n.バウアー
bauhaus	n.バウハウス
baum	n.バウム
bauxite	n.ボーキサイト
bavaria	n.バイエルン
bavarian	a.バイエルンの@n.バイエルン人
bax	n.バックス
baxter	n.バクスター
bay	n.湾
bayard	n.ベイヤード
bayer	n.バイエル
bayern	n.バイエルン
bayes	n.ベイズ
bayesian	a.ベイズの
baylor	n.ベイラー
bayonet	n.銃剣@v.銃剣で刺す
bayonne	n.バイヨンヌ
bayou	n.入り江@n.沼沢地
bays	n.湾@n.入り江
baywatch	n.ベイウォッチ
bazaar	n.バザー@n.市場
bazar	n.バザール@n.市場
bazooka	n.バズーカ砲
bbl	n.バレル
bdl	n.束@n.BDL
bdrm	n.寝室
be	v.である@v.いる
beach	n.ビーチ@n.海岸
beachcomber	n.浜辺をうろつく人@n.漂流物
beaches	n.ビーチ@n.浜辺
beachfront	n.ビーチフロント@a.海辺の
beacon	n.ビーコン@n.灯台
beacons	n.ビーコン@n.灯台
beaconsfield	n.ビーコンズフィールド
bead	n.ビーズ@n.玉
beaded	a.ビーズ付きの@a.玉状の
beading	n.ビーズ細工@n.ビーディング
beadle	n.教会堂守@n.職員
beads	n.ビーズ@n.数珠
beagle	n.ビーグル
beak	n.くちばし@n.鼻
beaker	n.ビーカー@n.取っ手なしカップ
beam	n.ビーム@n.梁@vi.輝く
beamed	vi.輝いた@a.ビーム状の
beaming	a.輝く@vi.にっこり笑う
beams	n.梁@n.光線@v.光を放つ
bean	n.豆@n.ビーン
beanbag	n.ビーンバッグ@n.お手玉
beanie	n.ビーニー@n.ニット帽
beanies	n.ビーニー@n.毛糸の帽子
beano	n.ビンゴ@n.どんちゃん騒ぎ
beans	n.豆
bear	n.熊@v.耐える@v.産む
bearcats	n.ベアキャット@n.パンダ
beard	n.あごひげ
bearded	a.髭のある
beards	n.ひげ@vt.立ち向かう
beardsley	n.ビアズリー
bearer	n.運搬人@n.持参人
bearers	n.運搬人@n.持参人
bearing	n.ベアリング@n.方位@v.耐えている
bearings	n.ベアリング@n.方向
bearish	a.弱気の@a.熊のような
bears	n.熊@v.耐える
beasley	n.ビーズリー
beast	n.獣@n.野獣
beasts	n.獣@n.けだもの
beat	v.打つ@n.ビート@v.負かす
beaten	v.打たれた@a.負けた
beater	n.泡立て器@n.打つ人
beaters	n.泡立て器@n.勢子
beating	n.鼓動@n.殴打@v.打つ
beatings	n.殴打@n.敗北
beatles	n.ビートルズ
beatrice	n.ベアトリス
beatrix	n.ベアトリクス
beatriz	n.ベアトリス
beats	n.ビート@vt.打つ@vt.勝つ
beatty	n.ビーティー
beau	n.恋人@n.ボーイフレンド
beaufort	n.ボーフォート
beaumont	n.ボーモント
beauregard	n.ボーリガード
beauties	n.美人@n.美しいもの
beautification	n.美化
beautiful	a.美しい
beautifully	ad.美しく@ad.見事に
beautify	vt.美しくする@vt.美化する
beauty	n.美しさ@n.美人
beaux	n.恋人@n.ボーイフレンド
beaver	n.ビーバー
beavers	n.ビーバー
beaverton	n.ビーバートン
bebop	n.ビバップ
became	v.〜になった
because	conj.〜なので@conj.〜だから
bechtel	n.ベクテル
beck	n.ベック
becker	n.ベッカー
becket	n.ベケット@n.ロープ掛け
beckett	n.ベケット
beckons	vt.手招きする@vi.合図する
becky	n.ベッキー
become	v.〜になる
becomes	v.〜になる
becoming	v.〜になっている@a.似合う
bed	n.ベッド@n.寝台
bedded	v.寝かせた@a.床のある
bedding	n.寝具@n.ベッディング
bede	n.ビード
bedford	n.ベッドフォード
bedfordshire	n.ベッドフォードシャー
bedlam	n.大騒ぎ@n.混乱
bedouin	n.ベドウィン@a.遊牧民の
bedrock	n.岩盤@n.基盤
bedroom	n.寝室
bedrooms	n.寝室@n.ベッドルーム
beds	n.ベッド
bedside	n.枕元@a.ベッドサイドの
bedspread	n.ベッドカバー
bedspreads	n.ベッドカバー
bedstead	n.ベッドの枠
bedtime	n.就寝時間@n.寝る時間
bee	n.ミツバチ@n.蜂
beebe	n.ビービー
beech	n.ブナ
beecher	n.ビーチャー
beechwood	n.ブナ材
beef	n.牛肉@n.ビーフ
beefy	a.筋骨たくましい@a.牛肉の
beehive	n.蜂の巣@n.ビーハイブ
beekeeping	n.養蜂
been	v.であった
beep	n.ビープ音@vi.ビーと鳴る
beeper	n.ポケットベル@n.ビーパー
beeps	n.ビープ音@vi.ビーッと鳴る
beer	n.ビール
beers	n.ビール
bees	n.蜂
beeswax	n.蜜蝋
beet	n.ビート@n.甜菜
beethoven	n.ベートーベン
beetle	n.甲虫@n.カブトムシ
beetles	n.カブトムシ@n.甲虫
beets	n.ビート@n.砂糖大根
before	prep.〜の前に@conj.〜する前に
beforehand	ad.あらかじめ@ad.事前に
beg	vt.懇願する@vi.物乞いする
began	v.始めた@v.始まった
beggar	n.乞食@vt.貧乏にする
beggars	n.乞食@n.物乞い
begged	v.懇願した@v.物乞いをした
begging	v.物乞いする@v.懇願する
begin	v.始める@v.始まる
beginner	n.初心者@n.入門者
beginners	n.初心者@n.入門者
beginning	n.始まり@v.始めている
beginnings	n.始まり@n.起源
begins	v.始まる
begotten	vt.生んだ@a.生まれた
begs	v.懇願する@v.物乞いする
begun	v.始まった
behalf	n.〜のために
behave	v.振る舞う@v.行儀よくする
behaved	v.振る舞った@a.行儀の良い
behaves	v.振る舞う@v.行儀よくする
behaving	v.振る舞う@v.行動する
behaviour	n.行動@n.振る舞い
behavioural	a.行動の@a.行動上の
behaviours	n.行動@n.振る舞い
beheaded	vt.首をはねた@a.斬首された
beheading	n.斬首@vt.首を切る
beheld	v.見た@v.目撃した
behemoth	n.巨大なもの@n.ベヒモス
behest	n.命令@n.要請
behind	prep.〜の後ろに@ad.後ろに
behold	vt.見よ@vt.眺める
beholder	n.見る人@n.観察者
beige	n.ベージュ@a.ベージュの
beijing	n.北京
being	n.存在@v.〜である
beings	n.存在@n.生き物
beirut	n.ベイルート
bel	n.ベル
bela	n.ベラ
belarus	n.ベラルーシ
belated	a.遅れた@a.時機を逸した
belay	vt.確保する@n.ビレイ
beleaguered	a.包囲された@a.悩まされた
belfast	n.ベルファスト
belfry	n.鐘楼@n.鐘つき堂
belgian	a.ベルギーの@n.ベルギー人
belgium	n.ベルギー
belgrade	n.ベオグラード
belgravia	n.ベルグレイビア
belief	n.信念@n.信仰
beliefs	n.信念@n.信仰
believable	a.信じられる@a.もっともらしい
believe	v.信じる
believed	v.信じた@v.思った
believer	n.信者@n.信じる人
believers	n.信者@n.信じる人
believes	v.信じる@v.思う
believing	v.信じる@a.信じている
belinda	n.ベリンダ
belize	n.ベリーズ
bell	n.鈴@n.ベル
bella	n.ベラ
belladonna	n.ベラドンナ
bellamy	n.ベラミー
belle	n.ベル@n.美女
belles	n.美人@n.社交界の花
bellevue	n.ベルビュー
bellflower	n.ベルフラワー@n.ホタルブクロ
bellied	a.腹のある@v.膨らんだ
bellies	n.腹@v.膨らむ
belligerent	a.好戦的な@a.交戦中の@n.交戦国
belling	n.ベリング
bellini	n.ベリーニ
bellman	n.ベルボーイ@n.呼び出し係
bellow	vi.ほえる@n.うなり声
bellows	n.ふいご@n.蛇腹
bells	n.ベル@n.鐘
belly	n.腹@n.お腹
belmont	n.ベルモント
belong	vi.属する@vi.所属する
belonged	v.所属した@v.属した
belonging	n.所属@v.属する
belongings	n.所持品@n.持ち物
belongs	v.属する@v.所属する
beloved	a.最愛の@n.愛する人
below	prep.〜の下に@ad.下に
belt	n.ベルト
belted	a.ベルトをした@vt.殴った
belting	n.ベルト材@n.殴打
belts	n.ベルト@n.地帯
beltway	n.環状道路
beluga	n.シロイルカ@n.ベルーガ
belushi	n.ベルーシ
belvedere	n.展望台@n.ベルヴェデーレ
ben	n.ベン
bench	n.ベンチ@n.長椅子
benches	n.ベンチ@n.長椅子
benchmark	n.ベンチマーク@n.基準
benchmarking	n.ベンチマーキング@n.比較評価
benchmarks	n.ベンチマーク@n.基準
bend	vt.曲げる@vi.曲がる@n.曲がり
bender	n.大酒飲み@n.曲げる人
benders	n.大騒ぎ@n.曲げる人
bendigo	n.ベンディゴ
bending	v.曲げる@n.曲げること
bendix	n.ベンディックス
bends	n.曲がり@v.曲げる
beneath	prep.〜の下に@ad.下に
benedict	n.ベネディクト
benedictine	a.ベネディクト会の@n.ベネディクト会修道士
benediction	n.祝福@n.祈祷
benefactor	n.恩人@n.後援者
benefactors	n.恩人@n.後援者
beneficial	a.有益な@a.有利な
beneficially	ad.有益に@ad.有利に
beneficiaries	n.受益者@n.受取人
beneficiary	n.受益者@n.受取人
benefit	n.利益@v.利益を得る
benefited	v.利益を得た@v.恩恵を受けた
benefiting	v.利益を得る@v.ためになる
benefits	n.利益@n.給付
benelux	n.ベネルクス
benet	n.ベネット
benetton	n.ベネトン
benevolence	n.慈悲@n.善意
benevolent	a.慈悲深い@a.善意の
beng	n.ベング
bengal	n.ベンガル
