the	art+m.یہ@art+f.یہ
qty	n+f.مقدار
possibly	ad.شاید
airline	n+f.ایئر لائن
typically	ad.عام طور پر
representation	n+f.نمائندگی
regard	n+m.احترام@v.سمجھنا
pump	n+m.پمپ@v.پمپ کرنا
exists	v.موجود ہے
arrangements	n+m.انتظامات
smooth	a.ہموار@v.ہموار کرنا
conferences	n+f.کانفرنسیں
strike	v.مارنا@n+f.ہڑتال
consumption	n+m.استعمال
birmingham	n+m.برمنگھم
flashing	v.چمک رہا ہے@a.چمکتا
narrow	a+m.تنگ@a+f.تنگ@v.تنگ کرنا
afternoon	n+f.دوپہر
threat	n+m.دھمکی@n+m.خطرہ
surveys	n+m.سروے@v.سروے کرتا ہے
sitting	v.بیٹھا ہے@n+f.نشست
putting	v.رکھ رہا ہے
consultant	n+m.مشیر
controller	n+m.کنٹرولر
ownership	n+f.ملکیت
committees	n+f.کمیٹیاں
penis	n+m.عضو تناسل
legislative	a.قانون ساز
researchers	n+m.محققین
vietnam	n+m.ویتنام
trailer	n+m.ٹریلر
anne	n+f.این
castle	n+m.قلعہ
gardens	n+m.باغات
missed	v.یاد آیا@a.چھوٹا ہوا
malaysia	n+m.ملائیشیا
unsubscribe	v.رکنیت ختم کرنا
antique	a.قدیم@n+m.قدیم چیز
labels	n+m.لیبل@v.لیبل لگاتا ہے
willing	a.تیار
bio	n+f.سوانح حیات
molecular	a.سالماتی
acting	v.اداکاری کر رہا ہے@n+f.اداکاری
heads	n+m.سر@v.سربراہی کرتا ہے
stored	v.ذخیرہ کیا@a.ذخیرہ شدہ
exam	n+m.امتحان
logos	n+m.لوگو
residence	n+f.رہائش گاہ
attorneys	n+m.وکلاء
milfs	n+f.بالغ عورتیں
antiques	n+m.قدیم اشیاء
density	n+f.کثافت
hundred	n+m.سو@a.سو
ryan	n+m.رائن
operators	n+m.آپریٹرز
strange	a.عجیب
sustainable	a.پائیدار
philippines	n+m.فلپائن
statistical	a.شماریاتی
beds	n+m.بستر
breasts	n+f.چھاتیاں
mention	v.ذکر کرنا@n+m.ذکر
innovation	n+f.اختراع
pcs	n+m.پی سیز
employers	n+m.آجر
grey	a+m.سرمئی@a+f.سرمئی@n+m.سرمئی رنگ
parallel	a.متوازی@n+m.متوازی
honda	n+m.ہونڈا
amended	v.ترمیم کی@a.ترمیم شدہ
operate	v.چلانا@v.کام کرنا
bills	n+m.بل
bold	a.جرات مندانہ@a.موٹا
bathroom	n+m.غسل خانہ
stable	a.مستحکم@n+m.اصطبل
opera	n+m.اوپیرا
definitions	n+f.تعریفیں
doctors	n+m.ڈاکٹر
lesson	n+m.سبق
cinema	n+m.سنیما
asset	n+m.اثاثہ
scan	v.سکین کرنا@n+m.سکین
elections	n+m.انتخابات
drinking	v.پی رہا ہے@n+f.پینا
blowjobs	n+m.زبانی جنسی عمل
reaction	n+m.ردعمل
blank	a.خالی@n+m.خالی جگہ
enhanced	v.بہتر بنایا@a.بہتر
entitled	v.حق دیا@a.حقدار
severe	a.شدید
generate	v.پیدا کرنا
stainless	a.زنگ نہ لگنے والا
newspapers	n+m.اخبارات
hospitals	n+m.ہسپتال
deluxe	a.عمدہ@a.پرتعیش
aged	a.عمر رسیدہ@v.عمر بڑھی
monitors	n+m.مانیٹرز@v.نگرانی کرتا ہے
exception	n+f.رعایت@n+m.استثناء
lived	v.رہا
duration	n+f.مدت
bulk	n+m.زیادہ تر@a.تھوک
successfully	ad.کامیابی سے
indonesia	n+m.انڈونیشیا
pursuant	a.مطابق
sci	n+f.سائنس
fabric	n+m.کپڑا
visits	n+f.ملاقاتیں@v.ملاقات کرتا ہے
primarily	ad.بنیادی طور پر
tight	a+m.تنگ@a+f.تنگ@a.سخت
domains	n+m.ڈومینز
capabilities	n+f.صلاحیتیں
contrast	n+m.تضاد@v.موازنہ کرنا
recommendation	n+f.سفارش
flying	v.اڑ رہا ہے@n+f.اڑان
recruitment	n+f.بھرتی
sin	n+m.گناہ@v.گناہ کرنا
berlin	n+m.برلن
cute	a.خوبصورت@a.پیارا
organized	v.منظم کیا@a.منظم
para	n+m.پیراگراف
siemens	n+m.سیمنز
adoption	n+f.گود لینا
improving	v.بہتر کر رہا ہے
expensive	a.مہنگا
meant	v.مطلب تھا@a.مطلوب
capture	v.پکڑنا@n+f.گرفتاری
pounds	n+m.پاؤنڈ
buffalo	n+m.بھینس
organisations	n+f.تنظیمیں
plane	n+m.ہوائی جہاز@n+m.طیارہ
explained	v.وضاحت کی
seed	n+m.بیج@v.بیج ڈالنا
programmes	n+m.پروگرام
desire	n+f.خواہش@v.خواہش کرنا
expertise	n+f.مہارت
mechanism	n+m.طریقہ کار
camping	n+f.کیمپنگ@v.کیمپ کر رہا ہے
jewellery	n+m.زیورات
meets	v.ملتا ہے
welfare	n+f.فلاح
peer	n+m.ہم عمر@v.غور سے دیکھنا
caught	v.پکڑا
eventually	ad.آخر کار
marked	v.نشان لگایا@a.نمایاں
driven	v.چلایا@a.چلنے والا
measured	v.ناپا@a.ماپا گیا
bottle	n+f.بوتل@v.بوتل میں بھرنا
agreements	n+m.معاہدے
considering	v.غور کر رہا ہے@prep.کے پیش نظر
innovative	a.اختراعی
marshall	n+m.مارشل
massage	n+m.مساج@v.مالش کرنا
rubber	n+m.ربڑ@a.ربڑ کا
conclusion	n+m.نتیجہ
closing	v.بند کر رہا ہے@a.اختتامی
tampa	n+m.ٹمپا
thousand	n+m.ہزار@a.ہزار
meat	n+m.گوشت
legend	n+f.روایت@n+m.لیجنڈ
grace	n+f.فضل@n+f.نرمی
susan	n+f.سوزن
adams	n+m.ایڈمز
python	n+m.پائیتھن@n+m.اژدہا
monster	n+m.عفریت@n+m.راکھشس
alex	n+m.ایلکس
bang	n+m.دھماکہ@v.دھماکے سے مارنا
villa	n+m.ولا
bone	n+f.ہڈی
columns	n+m.کالم
disorders	n+m.عارضے
bugs	n+m.کیڑے@n+m.خرابیاں
collaboration	n+m.تعاون
hamilton	n+m.ہیملٹن
detection	n+f.پتہ لگانا
ftp	n+m.ایف ٹی پی
cookies	n+m.کوکیز
inner	a.اندرونی
formation	n+f.تشکیل
tutorial	n+m.ٹیوٹوریل
med	a.طبی@n+f.دوائی
engineers	n+m.انجینئرز
entity	n+f.ہستی
cruises	n+m.سمندری سفر@v.سفر کرتا ہے
gate	n+m.دروازہ@n+m.گیٹ
holder	n+m.رکھنے والا
proposals	n+f.تجاویز
moderator	n+m.ثالث
tutorials	n+m.ٹیوٹوریلز
settlement	n+f.بستی@n+m.تصفیہ
portugal	n+m.پرتگال
lawrence	n+m.لارنس
roman	a.رومی@n+m.رومی
duties	n+f.ڈیوٹیاں
valuable	a.قیمتی
erotic	a.شہوانی
tone	n+m.لہجہ@n+f.آواز
collectables	n+m.جمع کردہ اشیاء
ethics	n+f.اخلاقیات
forever	ad.ہمیشہ کے لیے
dragon	n+m.ڈریگن@n+m.اژدہا
busy	a.مصروف
captain	n+m.کپتان
fantastic	a.شاندار@a.حیرت انگیز
imagine	v.تصور کرنا
brings	v.لاتا ہے
heating	n+f.حرارت@v.گرم کر رہا ہے
leg	n+f.ٹانگ
neck	n+f.گردن
wing	n+m.پر@n+m.ونگ
governments	n+f.حکومتیں
purchasing	v.خرید رہا ہے@n+f.خریداری
scripts	n+m.اسکرپٹس
stereo	n+m.سٹیریو@a.سٹیریو
appointed	v.مقرر کیا@a.مقرر
taste	n+m.ذائقہ@v.چکھنا
dealing	v.معاملہ کر رہا ہے@n+m.معاملہ
commit	v.ارتکاب کرنا
tiny	a.چھوٹا سا
operational	a.آپریشنل
rail	n+f.ریل@n+f.پٹری
airlines	n+f.ایئر لائنز
liberal	a.آزاد خیال@n+m.آزاد خیال
jay	n+m.جے
trips	n+m.سفر@v.ٹھوکر کھاتا ہے
gap	n+m.فرق@n+f.خلا
sides	n+f.طرفیں
tube	n+f.ٹیوب
turns	v.موڑتا ہے@n+f.باریاں
corresponding	a.متعلقہ@v.خط و کتابت کرتے ہوئے
descriptions	n+f.تفصیلات
cache	n+m.کیش@v.چھپانا
belt	n+f.پیٹی@n+m.بیلٹ
jacket	n+f.جیکٹ
determination	n+m.عزم
animation	n+f.اینیمیشن
oracle	n+m.اوریکل
matthew	n+m.میتھیو
lease	n+m.لیز@v.کرائے پر دینا
productions	n+f.پیداوار
aviation	n+f.ہوابازی
hobbies	n+m.مشاغل
proud	a.فخر کرنے والا
excess	n+m.زیادتی@a.زائد
disaster	n+f.تباہی
console	n+m.کنسول@v.تسلی دینا
commands	n+m.حکم@v.حکم دیتا ہے
telecommunications	n+f.مواصلات
instructor	n+m.انسٹرکٹر
giant	n+m.دیو@a.دیوہیکل
achieved	v.حاصل کیا
injuries	n+f.چوٹیں
shipped	v.بھیجا@a.بھیجا گیا
bestiality	n+f.حیوانیت
seats	n+f.نشستیں@v.بٹھاتا ہے
approaches	n+m.طریقے@v.قریب آتا ہے
biz	n+m.کاروبار
alarm	n+m.الارم@v.خبردار کرنا
voltage	n+m.وولٹیج
anthony	n+m.اینتھونی
nintendo	n+m.نینٹینڈو
usual	a.عام@a.معمول کا
loading	v.لوڈ کر رہا ہے@n+f.لوڈنگ
stamps	n+m.ڈاک ٹکٹ@v.مہر لگاتا ہے
appeared	v.ظاہر ہوا
franklin	n+m.فرینکلن
angle	n+m.زاویہ@v.زاویہ بنانا
rob	v.لوٹنا@n+m.راب
vinyl	n+m.وائنل
highlights	n+m.اہم نکات@v.نمایاں کرتا ہے
mining	n+f.کان کنی@v.کان کنی کر رہا ہے
designers	n+m.ڈیزائنرز
melbourne	n+m.میلبورن
ongoing	a.جاری
worst	a.بدترین
imaging	n+f.امیجنگ
betting	v.شرط لگا رہا ہے@n+f.شرط بازی
scientists	n+m.سائنسدان
liberty	n+f.آزادی
wyoming	n+m.وائیومنگ
blackjack	n+m.بلیک جیک
argentina	n+m.ارجنٹینا
era	n+m.دور
convert	v.تبدیل کرنا@n+m.مذہب بدلنے والا
possibility	n+f.امکان
analyst	n+m.تجزیہ کار
commissioner	n+m.کمشنر
dangerous	a.خطرناک
garage	n+m.گیراج
exciting	a.پرجوش@a.دلچسپ
reliability	n+f.قابل اعتمادی
thongs	n+f.چپل
unfortunately	ad.بدقسمتی سے
respectively	ad.بالترتیب
volunteers	n+m.رضاکار
attachment	n+m.اٹیچمنٹ@n+m.لگاؤ
ringtone	n+f.رنگ ٹون
finland	n+m.فن لینڈ
morgan	n+m.مورگن
derived	v.حاصل کیا@a.ماخوذ
pleasure	n+m.خوشی@n+f.لذت
honor	n+m.عزت@v.عزت کرنا
asp	n+m.اے ایس پی
oriented	a.رخ کردہ@v.راہنمائی کی
eagle	n+m.عقاب
desktops	n+m.ڈیسک ٹاپس
pants	n+f.پتلون
columbus	n+m.کولمبس
nurse	n+f.نرس@v.دیکھ بھال کرنا
prayer	n+f.دعا@n+f.نماز
appointment	n+f.تقرری@n+m.ملاقات
workshops	n+f.ورکشاپس
hurricane	n+m.سمندری طوفان
quiet	a.خاموش@n+f.خاموشی
luck	n+f.قسمت
postage	n+f.ڈاک کی قیمت
producer	n+m.پروڈیوسر
represented	v.نمائندگی کی
mortgages	n+m.رہن
dial	v.ڈائل کرنا@n+m.ڈائل
responsibilities	n+f.ذمہ داریاں
cheese	n+m.پنیر
comic	a.مزاحیہ@n+m.کامک
carefully	ad.احتیاط سے
jet	n+m.جیٹ
productivity	n+f.پیداواریت
investors	n+m.سرمایہ کار
crown	n+m.تاج@v.تاج پہنانا
par	n+m.برابری@a.برابر
underground	a.زیر زمین@n+m.زیر زمین
diagnosis	n+f.تشخیص
maker	n+m.بنانے والا
crack	n+f.دراڑ@v.توڑنا
principle	n+m.اصول
picks	v.چنتا ہے@n+m.انتخاب
vacations	n+f.چھٹیاں
gang	n+m.گروہ
semester	n+m.سمسٹر
calculated	v.حساب لگایا@a.حساب شدہ
fetish	n+m.فیٹش
applies	v.لاگو ہوتا ہے
casinos	n+m.کیسینوز
appearance	n+f.ظاہری شکل
smoke	n+m.دھواں@v.دھواں کرنا
apache	n+m.اپاچی
filters	n+m.فلٹرز@v.فلٹر کرتا ہے
incorporated	v.شامل کیا@a.انکارپوریٹڈ
craft	n+m.دستکاری@n+m.ہنر
cake	n+m.کیک
notebooks	n+f.نوٹ بکس
apart	ad.الگ
fellow	n+m.ساتھی@a.ہم منصب
blind	a.اندھا@n+m.پردہ@v.اندھا کرنا
lounge	n+m.لاؤنج@v.آرام کرنا
mad	a.پاگل@a.دیوانہ
algorithm	n+m.الگورتھم
semi	a.نیم@n+m.نصف
coins	n+m.سکے
andy	n+m.اینڈی
gross	a.کل@a.ناگوار@n+m.کل رقم
strongly	ad.شدت سے
cafe	n+m.کیفے
valentine	n+m.ویلنٹائن
hilton	n+m.ہلٹن
ken	n+m.کین
proteins	n+m.پروٹین
horror	n+m.دہشت@a.دہشت کا
exp	n+m.تجربہ
familiar	a.واقف@a.جانا پہچانا
capable	a.قابل
douglas	n+m.ڈگلس
debian	n+m.ڈیبیان
till	prep.تک@conj.جب تک@n+m.نقدی خانہ
involving	v.شامل کرتے ہوئے
pen	n+m.قلم@v.لکھنا
investing	v.سرمایہ کاری کر رہا ہے
christopher	n+m.کرسٹوفر
admission	n+m.داخلہ@n+f.اعتراف
epson	n+m.ایپسن
shoe	n+m.جوتا
elected	v.منتخب کیا@a.منتخب
carrying	v.اٹھا رہا ہے
victory	n+f.فتح
sand	n+f.ریت@v.ریت مارنا
madison	n+m.میڈیسن
terrorism	n+f.دہشت گردی
joy	n+f.خوشی
editions	n+m.ایڈیشنز
mainly	ad.بنیادی طور پر
ethnic	a.نسلی
ran	v.دوڑا@v.چلایا
parliament	n+f.پارلیمنٹ
actor	n+m.اداکار
finds	v.پاتا ہے
seal	n+m.مہر@v.مہر لگانا@n+m.سیل
situations	n+f.صورت حال
fifth	a+m.پانچواں@a+f.پانچویں
allocated	v.مختص کیا@a.مختص
citizen	n+m.شہری
vertical	a.عمودی
corrections	n+f.تصحیحات
structural	a.ساختی
municipal	a.میونسپل
describes	v.بیان کرتا ہے
prize	n+m.انعام@v.قدر کرنا
occurs	v.واقع ہوتا ہے
jon	n+m.جون
absolute	a.مطلق
disabilities	n+f.معذوریاں
consists	v.مشتمل ہے
anytime	ad.کسی بھی وقت
substance	n+m.مادہ
prohibited	v.منع کیا@a.ممنوع
addressed	v.خطاب کیا@a.مخاطب
lies	v.جھوٹ بولتا ہے@n+m.جھوٹ
pipe	n+m.پائپ@v.پائپ لگانا
soldiers	n+m.سپاہی
guardian	n+m.سرپرست
lecture	n+m.لیکچر@v.لیکچر دینا
simulation	n+f.نقالی
layout	n+m.لے آؤٹ
initiatives	n+f.اقدامات
ill	a.بیمار@n+f.برائی
concentration	n+f.ارتکاز
classics	n+m.کلاسکس
lbs	n+m.پاؤنڈ
lay	v.رکھنا@a.عام
interpretation	n+f.تشریح
horses	n+m.گھوڑے
dirty	a+m.گندا@a+f.گندی@v.گندا کرنا
deck	n+m.ڈیک@v.سجانا
wayne	n+m.وین
donate	v.عطیہ دینا
taught	v.سکھایا
bankruptcy	n+f.دیوالیہ پن
worker	n+m.کارکن
optimization	n+f.اصلاح
alive	a.زندہ
temple	n+m.مندر
substances	n+m.مادے
prove	v.ثابت کرنا
discovered	v.دریافت کیا
wings	n+m.پر@n+m.پنکھ
breaks	v.توڑتا ہے@n+m.وقفے
genetic	a.جینیاتی
restrictions	n+f.پابندیاں
participating	v.شرکت کر رہا ہے
waters	n+m.پانی
promise	n+m.وعدہ@v.وعدہ کرنا
thin	a+m.پتلا@a+f.پتلی@v.پتلا کرنا
exhibition	n+f.نمائش
prefer	v.ترجیح دینا
ridge	n+f.پہاڑی کی چوٹی
cabinet	n+f.کابینہ@n+m.الماری
modem	n+m.موڈیم
harris	n+m.ہیرس
mph	n+m.میل فی گھنٹہ
bringing	v.لا رہا ہے
sick	a.بیمار
dose	n+f.خوراک@v.خوراک دینا
evaluate	v.جانچنا@v.تشخیص کرنا
tiffany	n+f.ٹفنی
tropical	a.اشنکٹبندیی@a.گرم
collect	v.جمع کرنا@v.اکٹھا کرنا
bet	n+f.شرط@v.شرط لگانا
composition	n+f.ترکیب@n+f.تصنیف
toyota	n+f.ٹویوٹا
streets	n+f.گلیاں@n+f.سڑکیں
nationwide	a.ملک گیر@ad.پورے ملک میں
vector	n+m.ویکٹر
definitely	ad.یقیناً@ad.ضرور
shaved	a.مونڈا ہوا@v.مونڈا
turning	n+m.موڑ@v.مڑنا
buffer	n+m.بفر@n+f.رکاوٹ
purple	a.جامنی@n+m.جامنی رنگ
existence	n+f.موجودگی@n+f.زندگی
commentary	n+f.تفسیر@n+m.تبصرہ
larry	n+m.لیری
limousines	n+f.لمبی گاڑیاں
developments	n+f.پیش رفت@n+m.واقعات
def	a.بہترین
immigration	n+f.امیگریشن@n+f.نقل مکانی
destinations	n+f.منزلیں
lets	v.اجازت دیتا ہے
mutual	a.باہمی@a.مشترکہ
pipeline	n+f.پائپ لائن
necessarily	ad.لازمی طور پر@ad.ضرورتاً
syntax	n+m.نحو@n+f.ترکیب
attribute	n+f.صفت@v.منسوب کرنا
prison	n+f.جیل@n+m.قید خانہ
skill	n+f.مہارت@n+m.ہنر
chairs	n+f.کرسیاں
everyday	a.روزمرہ@a.روزانہ
apparently	ad.ظاہراً@ad.بظاہر
surrounding	a.ارد گرد کا@a.گردونواح
mountains	n+m.پہاڑ
moves	n+f.چالیں@v.حرکت کرتا ہے
popularity	n+f.مقبولیت
inquiry	n+f.تحقیقات@n+f.پوچھ گچھ
ethernet	n+m.ایتھرنیٹ
checked	a.چیک شدہ@v.جانچا
exhibit	n+f.نمائش@v.دکھانا
throw	v.پھینکنا@n+m.پھینکاؤ
trend	n+m.رجحان@n+f.روش
sierra	n+f.سیرا
visible	a.نظر آنے والا@a.ظاہر
cats	n+f.بلیاں
desert	n+m.صحرا@v.چھوڑ دینا
oldest	a.سب سے پرانا@a.قدیم ترین
rhode	n+m.روڈ
busty	a.بھری ہوئی
coordinator	n+m.رابطہ کار
obviously	ad.ظاہر ہے@ad.واضح طور پر
mercury	n+m.پارہ@n+m.عطارد
steven	n+m.سٹیون
handbook	n+f.کتابچہ@n+f.ہینڈ بک
greg	n+m.گریگ
navigate	v.راستہ تلاش کرنا@v.سمت دکھانا
worse	a.بدتر@ad.زیادہ برا
summit	n+f.چوٹی@n+m.اجلاس
victims	n+m.متاثرین@n+f.قربانیاں
spaces	n+f.جگہیں@n+m.خلا
fundamental	a.بنیادی@n+m.اصول
burning	a.جلتا ہوا@n+f.جلن
escape	n+f.فرار@v.بھاگنا
coupons	n+m.کوپن
somewhat	ad.کسی حد تک@ad.کچھ
receiver	n+m.وصول کنندہ@n+m.ریسیور
substantial	a.خاطر خواہ@a.کافی
progressive	a.ترقی پسند@a.بتدریج
boats	n+f.کشتیاں
glance	n+f.نظر@v.سرسری نظر ڈالنا
scottish	a.سکاٹش
championship	n+f.چیمپئن شپ
arcade	n+m.آرکیڈ@n+f.بازار
richmond	n+m.رچمنڈ
sacramento	n+m.سیکرامنٹو
impossible	a.ناممکن
ron	n+m.ران
russell	n+m.رسل
tells	v.بتاتا ہے
obvious	a.واضح@a.ظاہر
depression	n+f.افسردگی@n+m.کساد بازاری
graph	n+m.گراف@n+f.تصویر
covering	n+f.ڈھانپنا@a.ڈھکنے والا
platinum	n+m.پلاٹینم@a.پلاٹینی
judgment	n+m.فیصلہ@n+f.رائے
bedrooms	n+m.سونے کے کمرے
talks	n+f.باتیں@v.بات کرتا ہے
filing	n+f.فائلنگ@n+f.دائر کرنا
foster	v.پرورش کرنا@a.رضاعی
passing	a.گزرتا ہوا@n+m.گزرنا
awarded	v.دیا گیا@a.انعام یافتہ
testimonials	n+m.تعریفی خطوط
trials	n+f.آزمائشیں@n+m.مقدمات
tissue	n+m.ٹشو@n+f.بافت
memorabilia	n+f.یادگاریں
clinton	n+m.کلنٹن
masters	n+m.ماسٹرز@n+m.اساتذہ
bonds	n+m.بانڈز@n+f.رشتے
cartridge	n+f.کارتوس@n+m.کارٹریج
alberta	n+f.البرٹا
explanation	n+f.وضاحت@n+f.تشریح
folk	n+m.لوگ@a.لوک
org	n+f.تنظیم
commons	n+m.عوام@n+f.مشترکہ زمین
cincinnati	n+m.سنسناٹی
subsection	n+f.ذیلی دفعہ@n+m.ذیلی حصہ
fraud	n+m.فراڈ@n+f.دھوکہ دہی
electricity	n+f.بجلی
permitted	a.اجازت یافتہ@v.اجازت دی گئی
spectrum	n+m.طیف@n+m.سپیکٹرم
arrival	n+f.آمد@n+m.پہنچنا
okay	a.ٹھیک@int.اچھا
pottery	n+f.مٹی کے برتن@n+m.کمہار کا کام
emphasis	n+m.زور@n+f.تاکید
roger	n+m.راجر@int.سمجھ گیا
aspect	n+m.پہلو@n+f.جہت
workplace	n+f.کام کی جگہ@n+m.دفتر
awesome	a.زبردست@a.شاندار
mexican	a.میکسیکن@n+m.میکسیکو کا باشندہ
confirmed	a.تصدیق شدہ@v.تصدیق کی
counts	n+f.گنتی@v.گنتا ہے
priced	a.قیمت لگی ہوئی@v.قیمت مقرر کی
wallpapers	n+m.وال پیپر
hist	n+f.تاریخ
crash	n+m.حادثہ@v.ٹکرانا@n+f.تباہی
lift	n+f.لفٹ@v.اٹھانا
desired	a.مطلوبہ@v.چاہا
inter	prep.درمیان@v.دفن کرنا
closer	a.قریب تر@ad.نزدیک
assumes	v.فرض کرتا ہے@v.سمجھتا ہے
heights	n+f.بلندیاں@n+f.اونچائیاں
shadow	n+m.سایہ@n+f.پرچھائیں
riding	n+f.سواری@v.سوار ہونا
infection	n+f.انفیکشن@n+m.عفونت
firefox	n+m.فائر فاکس
lisa	n+f.لیزا
expense	n+m.خرچ@n+f.لاگت
grove	n+m.باغیچہ@n+f.جھنڈی
eligibility	n+f.اہلیت@n+f.قابلیت
venture	n+m.کاروباری منصوبہ@v.جرأت کرنا
clinic	n+f.کلینک@n+f.صحت گاہ
korean	a.کوریائی@n+m.کوریا کا باشندہ
healing	n+f.شفا@n+m.علاج@a.شفا بخش
princess	n+f.شہزادی
mall	n+m.مال@n+m.شاپنگ سینٹر
entering	v.داخل ہونا@n+f.داخلہ
packet	n+m.پیکٹ@n+f.پڑیا
spray	n+m.سپرے@v.چھڑکنا
studios	n+m.سٹوڈیو
involvement	n+f.شمولیت@n+m.ملوث ہونا
dad	n+m.ابا@n+m.باپ
buttons	n+m.بٹن
placement	n+f.جگہ@n+m.تقرر
observations	n+f.مشاہدات
funded	a.مالی امداد یافتہ@v.مالی امداد دی
thompson	n+m.تھامسن
winners	n+m.فاتحین@n+m.جیتنے والے
extend	v.بڑھانا@v.توسیع کرنا
roads	n+f.سڑکیں
subsequent	a.بعد کا@a.مابعد
pat	n+m.پیٹ@v.تھپتھپانا
dublin	n+m.ڈبلن
rolling	a.لڑھکتا@v.لڑھکنا@n+f.رولنگ
fell	v.گرا@v.گر پڑا
motorcycle	n+f.موٹر سائیکل
yard	n+m.صحن@n+m.گز
disclosure	n+f.انکشاف@n+f.افشاء
establishment	n+f.ادارہ@n+m.قیام
memories	n+f.یادیں
nelson	n+m.نیلسن
arrived	v.پہنچا@v.آ گیا
creates	v.بناتا ہے@v.تخلیق کرتا ہے
faces	n+m.چہرے@v.سامنا کرتا ہے
tourist	n+m.سیاح
cocks	n+m.مرغے
mayor	n+m.میئر
murder	n+m.قتل@v.قتل کرنا
sean	n+m.شان
adequate	a.کافی@a.مناسب
senator	n+m.سینیٹر
yield	n+f.پیداوار@v.دینا@v.ہار ماننا
presentations	n+f.پیشکشیں
grades	n+f.جماعتیں@n+m.درجات
cartoons	n+m.کارٹون
pour	v.ڈالنا@v.انڈیلنا
digest	n+m.خلاصہ@v.ہضم کرنا
reg	n+f.رجسٹریشن
lodging	n+f.رہائش@n+m.قیام
dust	n+f.دھول@n+m.گرد
hence	ad.اس لیے@ad.لہذا
wiki	n+f.ویکی
entirely	ad.مکمل طور پر@ad.بالکل
replaced	v.بدلا گیا@a.تبدیل شدہ
radar	n+m.ریڈار
rescue	n+f.بچاؤ@v.بچانا
undergraduate	n+m.زیر تعلیم طالب علم@a.انڈر گریجویٹ
losses	n+f.نقصانات@n+m.خسارے
combat	n+f.لڑائی@v.لڑنا@n+m.مقابلہ
reducing	v.کم کرنا@a.کم ہوتا
stopped	v.رکا@v.روکا@a.بند
occupation	n+m.پیشہ@n+f.قبضہ
lakes	n+f.جھیلیں
butt	n+m.کولہا@n+f.بٹ@v.سینگ مارنا
donations	n+f.عطیات@n+m.چندہ
associations	n+f.انجمنیں@n+m.تعلقات
closely	ad.قریب سے@ad.غور سے
radiation	n+f.تابکاری@n+f.شعاع ریزی
diary	n+f.ڈائری@n+f.روزنامچہ
seriously	ad.سنجیدگی سے@ad.سختی سے
kings	n+m.بادشاہ@n+m.راجے
shooting	n+f.فائرنگ@n+f.گولی باری@v.گولی چلانا
kent	n+m.کینٹ
adds	v.جوڑتا ہے@v.شامل کرتا ہے
ear	n+m.کان
flags	n+m.جھنڈے
baker	n+m.نانبائی@n+m.بیکر
launched	v.شروع کیا@v.لانچ کیا
elsewhere	ad.کہیں اور@ad.دوسری جگہ
pollution	n+f.آلودگی
conservative	a.قدامت پسند@n+m.قدامت پسند
guestbook	n+f.مہمان کتاب
shock	n+m.صدمہ@v.جھٹکا دینا@n+f.چونکاہٹ
effectiveness	n+f.تاثیر@n+f.کارگری
walls	n+f.دیواریں
abroad	ad.بیرون ملک@ad.بیرون
ebony	n+f.آبنوس@a.سیاہ
tie	n+f.ٹائی@v.باندھنا@n+m.برابری
ward	n+m.وارڈ@n+f.نگرانی@v.دور کرنا
drawn	v.کھینچا گیا@a.تھکا ہوا
arthur	n+m.آرتھر
ian	n+m.ایان
visited	v.ملاقات کی@v.دورہ کیا
roof	n+f.چھت
walker	n+m.پیدل چلنے والا@n+m.واکر
demonstrate	v.ظاہر کرنا@v.مظاہرہ کرنا
atmosphere	n+f.فضا@n+m.ماحول
suggests	v.تجویز کرتا ہے@v.مشورہ دیتا ہے
kiss	n+m.بوسہ@v.چومنا
beast	n+m.جانور@n+m.درندہ
operated	v.چلایا@v.آپریشن کیا
experiment	n+m.تجربہ@v.تجربہ کرنا
targets	n+m.اہداف@n+f.نشانے
overseas	ad.بیرون ملک@a.سمندر پار
purchases	n+f.خریداری@v.خریدتا ہے
dodge	v.بچنا@n+m.ڈاج@v.ٹالنا
counsel	n+m.مشورہ@n+m.وکیل@v.مشورہ دینا
federation	n+f.فیڈریشن@n+f.وفاق
pizza	n+m.پیزا
invited	v.مدعو کیا@a.مدعو
yards	n+m.صحن@n+m.گز
assignment	n+f.تفویض@n+m.کام
chemicals	n+m.کیمیکل@a.کیمیائی
gordon	n+m.گورڈن
mod	n+m.ماڈ@n+f.ترمیم
farmers	n+m.کسان
queries	n+f.سوالات@n+f.استفسارات
rush	n+f.جلدی@v.جلدی کرنا@n+m.رش
ukraine	n+m.یوکرین
absence	n+f.غیر حاضری@n+f.عدم موجودگی
nearest	a.قریب ترین@a.سب سے نزدیک
cluster	n+m.جھرمٹ@n+m.گچھا
vendors	n+m.فروخت کنندگان@n+m.بیچنے والے
whereas	conj.جبکہ@conj.حالانکہ
yoga	n+m.یوگا
serves	v.خدمت کرتا ہے@v.پیش کرتا ہے
woods	n+m.جنگل@n+f.لکڑیاں
surprise	n+f.حیرت@v.حیران کرنا@n+m.اچانک واقعہ
lamp	n+f.لیمپ@n+m.چراغ
rico	n+m.ریکو
partial	a.جزوی@a.طرفدار
shoppers	n+m.خریدار
phil	n+m.فل
everybody	pron.ہر کوئی@pron.سب لوگ
couples	n+m.جوڑے
nashville	n+m.نیش ول
ranking	n+f.درجہ بندی@a.اعلیٰ
jokes	n+m.لطیفے@n+f.مذاق
simpson	n+m.سمپسن
