the	art.ال
davidson	n+m.ديفيدسون
copied	v.نُسخ@a.منسوخ
scotia	n+f.سكوشا
farming	n+f.زراعة
gibson	n+m.غيبسون
pharmacies	n+f.صيدليات
fork	n+f.شوكة@n+m.تفرّع
troy	n+m.تروي
roller	n+m.أسطوانة@n+f.بكرة
introducing	v.يقدّم@v.يعرّف
batch	n+f.دفعة@n+f.مجموعة
organize	v.ينظّم
appreciated	v.قُدّر@a.مقدّر
alter	v.يغيّر@v.يعدّل
nicole	n+f.نيكول
latino	a.لاتيني@n+m.لاتيني
ghana	n+f.غانا
edges	n+f.حواف
mixing	n+m.خلط@v.يخلط
handles	v.يتعامل@n+f.مقابض
skilled	a.ماهر
fitted	a.مركّب@v.رُكّب
albuquerque	n+f.ألبوكيركي
harmony	n+m.انسجام@n+f.توافق
distinguished	a.مميز@a.بارز
asthma	n+m.ربو
projected	a.متوقّع@v.عُرض
assumptions	n+f.افتراضات
shareholders	n+m.مساهمون
twins	n+m.توأم
developmental	a.تنموي
rip	v.يمزّق@n+m.تمزيق
regulated	a.منظّم@v.نُظّم
triangle	n+m.مثلث
amend	v.يعدّل
anticipated	a.متوقّع@v.توُقّع
oriental	a.شرقي
reward	n+f.مكافأة@v.يكافئ
windsor	n+f.ويندسور
zambia	n+f.زامبيا
completing	v.يكمل
hydrogen	n+m.هيدروجين
sprint	n+m.سباق قصير@v.يركض بسرعة
comparable	a.قابل للمقارنة
chick	n+f.فرخة@n+f.فتاة
advocate	n+m.مدافع@v.يدافع
sims	n+m.سيمز
confusion	n+f.ارتباك@n+m.حيرة
copyrighted	a.محفوظ الحقوق
tray	n+m.صينية
inputs	n+f.مدخلات
warranties	n+f.ضمانات
genome	n+m.جينوم
escorts	n+m.مرافقون@v.يرافق
documented	a.موثّق@v.وُثّق
thong	n+m.سير@n+f.ملابس داخلية
medal	n+f.ميدالية
paperbacks	n+f.كتب ورقية الغلاف
coaches	n+m.مدربون@n+f.حافلات
vessels	n+f.سفن@n+f.أوعية
harbour	n+m.ميناء
walks	v.يمشي@n+f.مشيات
sucks	v.يمتص@v.سيء
sol	n+f.شمس
keyboards	n+f.لوحات مفاتيح
sage	n+m.حكيم@n+f.ميرمية
knives	n+f.سكاكين
eco	a.بيئي
vulnerable	a.ضعيف@a.معرّض
arrange	v.يرتّب
artistic	a.فني
bat	n+m.خفاش@n+f.مضرب
booth	n+f.كشك
indie	a.مستقل
reflected	v.انعكس@a.منعكس
unified	a.موحّد@v.وُحّد
bones	n+f.عظام
breed	n+f.سلالة@v.يربّي
detector	n+m.كاشف
ignored	v.تُجوهل@a.متجاهل
polar	a.قطبي
fallen	a.ساقط@v.سقط
precise	a.دقيق
sussex	n+f.ساسكس
respiratory	a.تنفسي
notifications	n+f.إشعارات
mainstream	n+m.تيار رئيسي@a.سائد
invoice	n+f.فاتورة
evaluating	v.يقيّم
lip	n+f.شفة
subcommittee	n+f.لجنة فرعية
sap	n+m.عصارة@v.يستنزف
gather	v.يجمع
maternity	n+f.أمومة@a.أمومي
backed	v.دُعم@a.مدعوم
alfred	n+m.ألفريد
colonial	a.استعماري
carey	n+m.كاري
motels	n+f.فنادق صغيرة
forming	v.يشكّل@n+m.تشكيل
embassy	n+f.سفارة
cave	n+m.كهف
journalists	n+m.صحفيون
danny	n+m.داني
slight	a.طفيف@a.ضئيل
proceeds	n+f.عائدات@v.يمضي
indirect	a.غير مباشر
amongst	prep.بين
wool	n+m.صوف
foundations	n+f.مؤسسات@n+f.أسس
arrest	n+m.اعتقال@v.يعتقل
volleyball	n+f.كرة طائرة
horizon	n+m.أفق
deeply	ad.بعمق
toolbox	n+m.صندوق أدوات
marina	n+f.مرسى@n+f.مارينا
liabilities	n+f.التزامات@n+f.مسؤوليات
prizes	n+f.جوائز
bosnia	n+f.البوسنة
browsers	n+f.متصفحات
decreased	v.انخفض@a.منخفض
patio	n+m.فناء
tolerance	n+m.تسامح@n+f.تحمّل
surfing	n+m.ركوب الأمواج@n+m.تصفح
creativity	n+f.إبداع
lloyd	n+m.لويد
describing	v.يصف
optics	n+f.بصريات
pursue	v.يتابع@v.يسعى
lightning	n+m.برق
overcome	v.يتغلب
eyed	a.ذو عيون
quotations	n+f.اقتباسات@n+f.عروض أسعار
grab	v.يمسك@n+f.قبضة
inspector	n+m.مفتش
attract	v.يجذب
brighton	n+f.برايتون
beans	n+f.فاصولياء
bookmarks	n+f.علامات مرجعية
ellis	n+m.إليس
disable	v.يعطّل
snake	n+m.ثعبان
succeed	v.ينجح
leonard	n+m.ليونارد
lending	n+m.إقراض@v.يقرض
oops	int.عذراً
reminder	n+f.تذكير
nipple	n+f.حلمة
searched	v.بُحث@a.مبحوث
riverside	n+m.ضفة نهر
bathrooms	n+f.حمامات
plains	n+f.سهول
raymond	n+m.ريموند
insights	n+f.رؤى@n+f.أفكار
abilities	n+f.قدرات
initiated	v.بُدئ@a.مبادر
sullivan	n+m.سوليفان
midwest	n+m.الغرب الأوسط
karaoke	n+m.كاريوكي
trap	n+f.مصيدة@v.يصطاد
lonely	a.وحيد
fool	n+m.أحمق@v.يخدع
nonprofit	a.غير ربحي
lancaster	n+f.لانكستر
suspended	a.معلّق@v.عُلّق
hereby	ad.بموجب هذا
observe	v.يلاحظ@v.يراقب
julia	n+f.جوليا
containers	n+f.حاويات
attitudes	n+f.مواقف
karl	n+m.كارل
berry	n+f.توت
collar	n+m.ياقة
simultaneously	ad.في آن واحد
racial	a.عنصري@a.عرقي
integrate	v.يدمج
bermuda	n+f.برمودا
amanda	n+f.أماندا
sociology	n+m.علم الاجتماع
mobiles	n+f.هواتف محمولة
screenshot	n+f.لقطة شاشة
exhibitions	n+f.معارض
confident	a.واثق
retrieved	v.اُسترجع@a.مسترجع
exhibits	n+f.معروضات@v.يعرض
officially	ad.رسمياً
consortium	n+m.اتحاد@n+f.مجموعة
dies	v.يموت
terrace	n+f.شرفة@n+m.مصطبة
bacteria	n+f.بكتيريا
pts	n+f.نقاط
replied	v.ردّ
seafood	n+f.مأكولات بحرية
novels	n+f.روايات
recipients	n+m.متلقّون
playboy	n+m.بلاي بوي
ought	v.ينبغي
delicious	a.لذيذ
traditions	n+f.تقاليد
jail	n+m.سجن@v.يسجن
safely	ad.بأمان
finite	a.محدود@a.متناهٍ
kidney	n+f.كلية
periodically	ad.دورياً
fixes	n+f.إصلاحات@v.يصلح
sends	v.يرسل
durable	a.متين@a.دائم
mazda	n+f.مازدا
allied	a.متحالف
throws	v.يرمي@n+f.رميات
moisture	n+f.رطوبة
hungarian	a.مجري@n+m.مجري
roster	n+f.قائمة
referring	v.يشير
spencer	n+m.سبنسر
wichita	n+f.ويتشيتا
uruguay	n+f.أوروغواي
transform	v.يحوّل
timer	n+m.مؤقّت
tablets	n+f.أقراص@n+f.ألواح
tuning	n+m.ضبط@v.يضبط
gotten	v.حصل
educators	n+m.معلمون
tyler	n+m.تايلر
futures	n+f.عقود آجلة
vegetable	n+f.خضرة@a.نباتي
verse	n+m.بيت شعري@n+f.آية
highs	n+f.قمم@n+f.ارتفاعات
humanities	n+f.علوم إنسانية
independently	ad.بشكل مستقل
wanting	v.يريد@a.راغب
custody	n+f.حضانة@n+m.احتجاز
scratch	v.يخدش@n+f.خدش
launches	v.يطلق@n+f.إطلاقات
alignment	n+m.محاذاة@n+m.انتظام
masturbating	v.يستمني
henderson	n+m.هندرسون
britannica	n+f.بريتانيكا
comm	n+f.اتصالات
ellen	n+f.إلين
competitors	n+m.منافسون
rocket	n+m.صاروخ
aye	int.نعم
bullet	n+f.رصاصة
towers	n+f.أبراج
racks	n+f.رفوف
lace	n+f.دانتيل
nasty	a.بذيء@a.سيء
visibility	n+f.رؤية
latitude	n+m.خط عرض
consciousness	n+m.وعي
ste	n+f.قديسة
ugly	a.قبيح
deposits	n+f.ودائع@v.يودع
beverly	n+f.بيفرلي
mistress	n+f.عشيقة@n+f.سيدة
encounter	n+m.لقاء@v.يصادف
trustees	n+m.أمناء
watts	n+m.واط
duncan	n+m.دنكان
reprints	n+f.إعادة طبع@v.يعيد طبع
hart	n+m.هارت
bernard	n+m.برنارد
resolutions	n+f.قرارات@n+f.حلول
accessing	v.يصل إلى
forty	n+m.أربعون
tubes	n+f.أنابيب
attempted	v.حاول@a.محاوَل
col	n+m.عقيد
midlands	n+f.ميدلاندز
priest	n+m.كاهن
floyd	n+m.فلويد
ronald	n+m.رونالد
analysts	n+m.محللون
queue	n+m.طابور@v.يصطف
trance	n+f.نشوة@n+m.ترانس
locale	n+m.موقع@n+f.لغة محلية
nicholas	n+m.نيكولاس
biol	n+f.أحياء
bundle	n+f.حزمة@v.يجمّع
hammer	n+f.مطرقة@v.يطرق
invasion	n+m.غزو
witnesses	n+m.شهود@v.يشهد
runner	n+m.عدّاء
rows	n+f.صفوف@n+f.مشاجرات
administered	v.أُدير@a.مُدار
notion	n+f.فكرة@n+m.مفهوم
skins	n+f.جلود@n+f.أغلفة
mailed	v.أُرسل بالبريد
fujitsu	n+f.فوجيتسو
spelling	n+m.إملاء@n+f.تهجئة
arctic	a.قطبي@n+m.القطب الشمالي
exams	n+f.امتحانات
rewards	n+f.مكافآت@v.يكافئ
beneath	prep.تحت
strengthen	v.يقوّي
defend	v.يدافع
frederick	n+m.فريدريك
medicaid	n+m.ميديكيد
infrared	a.تحت الحمراء@n+f.أشعة تحت حمراء
seventh	a.سابع@n+m.سُبع
gods	n+m.آلهة
welsh	a.ويلزي@n+m.ويلزي
belly	n+m.بطن
aggressive	a.عدواني
tex	n+m.تكس
advertisements	n+f.إعلانات
quarters	n+f.أرباع@n+f.أحياء
stolen	a.مسروق@v.سُرق
soonest	ad.في أقرب وقت
haiti	n+f.هايتي
disturbed	a.مضطرب@v.أُزعج
determines	v.يحدد
sculpture	n+m.تمثال@n+f.نحت
poly	a.متعدد
ears	n+f.آذان
fist	n+f.قبضة
naturals	n+f.طبيعيات
motivation	n+m.دافع@n+f.تحفيز
lenders	n+m.مقرضون
pharmacology	n+m.علم الأدوية
fitting	a.مناسب@n+m.تركيب
fixtures	n+f.تجهيزات
bloggers	n+m.مدوّنون
mere	a.مجرد
agrees	v.يوافق
passengers	n+m.ركاب
quantities	n+f.كميات
petersburg	n+f.بطرسبرغ
consistently	ad.باستمرار
powerpoint	n+m.باوربوينت
cons	n+f.سلبيات@n+m.محتالون
surplus	n+m.فائض
elder	n+m.كبير@a.أكبر
sonic	a.صوتي
obituaries	n+f.نعيات
cheers	int.تحياتي@n+f.هتافات
dig	v.يحفر@n+f.حفرة
taxi	n+f.سيارة أجرة
punishment	n+m.عقاب
appreciation	n+m.تقدير
subsequently	ad.لاحقاً
belarus	n+f.بيلاروسيا
nat	n+m.نات
zoning	n+m.تقسيم مناطقي
gravity	n+f.جاذبية
providence	n+f.عناية إلهية
thumb	n+m.إبهام
restriction	n+m.قيد@n+f.تقييد
incorporate	v.يدمج@v.يؤسس
backgrounds	n+f.خلفيات
treasurer	n+m.أمين صندوق
guitars	n+f.غيتارات
essence	n+f.جوهر@n+m.خلاصة
flooring	n+f.أرضيات
lightweight	a.خفيف الوزن
ethiopia	n+f.إثيوبيا
mighty	a.قوي@a.عظيم
athletes	n+m.رياضيون
humanity	n+f.إنسانية
transcription	n+m.نسخ@n+f.تفريغ
holmes	n+m.هولمز
complications	n+f.مضاعفات
scholars	n+m.علماء
dpi	n+f.نقطة لكل بوصة
scripting	n+m.برمجة نصية
remembered	v.تُذكّر@a.مذكور
galaxy	n+f.مجرة
chester	n+m.تشيستر
snapshot	n+f.لقطة
caring	a.مهتم@v.يهتم
worn	a.بالٍ@v.اُرتدي
synthetic	a.صناعي@a.اصطناعي
shaw	n+m.شو
segments	n+f.شرائح@n+f.أقسام
testament	n+f.وصية@n+m.عهد
expo	n+m.معرض
dominant	a.مهيمن@a.سائد
twist	n+f.لفة@v.يلوي
specifics	n+f.تفاصيل
itunes	n+m.آيتونز
stomach	n+f.معدة
partially	ad.جزئياً
buried	a.مدفون@v.دُفن
newbie	n+m.مبتدئ
minimize	v.يقلّل@v.يصغّر
darwin	n+m.داروين
ranks	n+f.رتب@v.يصنّف
wilderness	n+f.برية
debut	n+m.ظهور أول
generations	n+f.أجيال
tournaments	n+f.بطولات
bradley	n+m.برادلي
deny	v.ينكر@v.يرفض
anatomy	n+m.تشريح
bali	n+f.بالي
judy	n+f.جودي
sponsorship	n+f.رعاية
headphones	n+f.سماعات رأس
fraction	n+m.كسر@n+f.جزء
trio	n+m.ثلاثي
proceeding	n+m.إجراء@v.يمضي
cube	n+m.مكعب
defects	n+f.عيوب
volkswagen	n+f.فولكسفاغن
uncertainty	n+m.عدم يقين
breakdown	n+m.انهيار@n+m.تحليل
milton	n+m.ميلتون
marker	n+m.علامة@n+m.قلم تحديد
reconstruction	n+f.إعادة بناء
subsidiary	n+f.شركة تابعة@a.فرعي
strengths	n+f.نقاط قوة
clarity	n+m.وضوح
rugs	n+f.سجاد
sandra	n+f.ساندرا
adelaide	n+f.أديلايد
encouraging	a.مشجّع@v.يشجّع
furnished	a.مفروش@v.فُرش
monaco	n+f.موناكو
settled	a.مستقر@v.استقر
folding	a.قابل للطي@v.يطوي
emirates	n+f.إمارات
terrorists	n+m.إرهابيون
airfare	n+f.أجرة طيران
comparisons	n+f.مقارنات
beneficial	a.مفيد
distributions	n+f.توزيعات
vaccine	n+m.لقاح
belize	n+f.بليز
crap	n+m.هراء@n+m.قذارة
fate	n+m.قدر@n+m.مصير
promised	v.وُعد@a.موعود
volvo	n+f.فولفو
penny	n+m.بنس@n+f.بيني
robust	a.قوي@a.متين
bookings	n+f.حجوزات
threatened	v.هُدّد@a.مهدَّد
minolta	n+f.مينولتا
republicans	n+m.جمهوريون
discusses	v.يناقش
porter	n+m.حمّال@n+m.بورتر
jungle	n+f.غابة
responded	v.استجاب
rim	n+f.حافة@n+m.إطار
abstracts	n+f.ملخصات
zen	n+m.زن
ivory	n+m.عاج@a.عاجي
alpine	a.ألبي@a.جبلي
dis	v.يهين
prediction	n+m.تنبؤ
pharmaceuticals	n+f.أدوية
fabulous	a.رائع@a.خرافي
remix	n+f.ريمكس@v.يعيد مزج
alias	n+m.اسم مستعار
thesaurus	n+m.قاموس مرادفات
individually	ad.فردياً
battlefield	n+f.ساحة معركة
literally	ad.حرفياً
newer	a.أحدث
kay	n+f.كاي
ecological	a.بيئي
spice	n+f.توابل@n+m.بهار
oval	a.بيضاوي@n+m.شكل بيضاوي
implies	v.يعني ضمنياً
soma	n+m.سوما
ser	n+m.سير
cooler	n+m.مبرّد@a.أبرد
appraisal	n+m.تقييم
consisting	v.يتكون
maritime	a.بحري
periodic	a.دوري
submitting	v.يقدّم
overhead	n+f.نفقات عامة@a.علوي
prospect	n+m.احتمال@n+f.توقعات
shipment	n+f.شحنة
breeding	n+m.تربية@n+m.تكاثر
citations	n+f.استشهادات
geographical	a.جغرافي
donor	n+m.متبرع
mozambique	n+f.موزمبيق
tension	n+m.توتر
benz	n+m.بنز
trash	n+f.قمامة@v.يتلف
shapes	n+f.أشكال@v.يشكّل
wifi	n+m.واي فاي
tier	n+f.طبقة@n+m.مستوى
fwd	n+m.توجيه@ad.للأمام
earl	n+m.إيرل
manor	n+m.قصر ريفي
envelope	n+m.ظرف
diane	n+f.ديان
homeland	n+m.وطن
disclaimers	n+f.إخلاءات مسؤولية
championships	n+f.بطولات
excluded	v.اُستبعد@a.مستبعَد
andrea	n+f.أندريا
breeds	n+f.سلالات@v.يربّي
rapids	n+f.منحدرات مائية
disco	n+m.ديسكو
sheffield	n+f.شيفيلد
bailey	n+m.بيلي
aus	n+f.أستراليا
finishing	n+m.إنهاء@v.ينهي
emotions	n+f.مشاعر
wellington	n+f.ويلينغتون
incoming	a.وارد@a.قادم
prospects	n+f.احتمالات@n+f.توقعات
cleaners	n+m.عمال نظافة@n+f.منظّفات
bulgarian	a.بلغاري@n+m.بلغاري
hwy	n+m.طريق سريع
eternal	a.أبدي
cashiers	n+m.صرّافون
guam	n+f.غوام
cite	v.يستشهد@v.يذكر
aboriginal	a.أصلي@n+m.سكان أصليون
remarkable	a.ملحوظ@a.رائع
rotation	n+m.دوران
nam	n+m.نام
preventing	v.يمنع
productive	a.منتج
boulevard	n+m.شارع واسع
eugene	n+m.يوجين
pig	n+m.خنزير
metric	a.متري
compliant	a.متوافق@a.ممتثل
minus	prep.ناقص@n+f.علامة سالب
penalties	n+f.عقوبات
bennett	n+m.بينيت
imagination	n+m.خيال
refurbished	a.مجدّد
joshua	n+m.يوشع
armenia	n+f.أرمينيا
varied	a.متنوع@v.تنوّع
closest	a.الأقرب
activated	v.فُعّل@a.مفعّل
actress	n+f.ممثلة
mess	n+f.فوضى@n+m.خلط
conferencing	n+m.مؤتمرات
assign	v.يعيّن@v.يخصص
armstrong	n+m.أرمسترونغ
politicians	n+m.سياسيون
lit	a.مضاء@v.أُضيء
accommodate	v.يستوعب@v.يوفر
tigers	n+m.نمور
aurora	n+f.شفق قطبي
una	n+f.أونا
slides	n+f.شرائح@v.ينزلق
milan	n+f.ميلان
premiere	n+f.عرض أول
lender	n+m.مقرض
villages	n+f.قرى
shade	n+m.ظل@n+f.درجة لون
chorus	n+f.جوقة@n+m.لازمة
christine	n+f.كريستين
rhythm	n+m.إيقاع
digit	n+m.رقم
argued	v.جادل@v.احتج
dietary	a.غذائي
symphony	n+f.سيمفونية
clarke	n+m.كلارك
sudden	a.مفاجئ
accepting	v.يقبل
precipitation	n+m.هطول
marilyn	n+f.مارلين
lions	n+m.أسود
ada	n+f.آدا
pools	n+f.برك@n+f.مجمعات
lyric	n+f.كلمات أغنية@a.غنائي
claire	n+f.كلير
isolation	n+m.عزل@n+f.عزلة
speeds	n+f.سرعات@v.يسرّع
sustained	a.مستدام@v.اُستدام
matched	v.طابق@a.متطابق
approximate	a.تقريبي@v.يقارب
rope	n+m.حبل
carroll	n+m.كارول
rational	a.عقلاني
programmer	n+m.مبرمج
fighters	n+m.مقاتلون
chambers	n+f.غرف@n+f.دوائر
dump	v.يلقي@n+m.مكب نفايات
greetings	n+f.تحيات
inherited	a.موروث@v.وُرث
warming	n+m.احترار@v.يسخّن
incomplete	a.غير مكتمل
vocals	n+f.أصوات غنائية
chronicle	n+f.سجل تاريخي
fountain	n+f.نافورة
chubby	a.ممتلئ
grave	n+m.قبر@a.خطير
legitimate	a.شرعي@a.مشروع
biographies	n+f.سير ذاتية
burner	n+m.موقد@n+m.ناسخ
yrs	n+f.سنوات
foo	n+m.فو
investigator	n+m.محقق
plaintiff	n+m.مدّعٍ
finnish	a.فنلندي@n+m.فنلندي
gentle	a.لطيف@a.رقيق
prisoners	n+m.سجناء
deeper	a.أعمق
muslims	n+m.مسلمون
hose	n+m.خرطوم
mediterranean	a.متوسطي@n+m.البحر المتوسط
nightlife	n+f.حياة ليلية
footage	n+m.لقطات@n+m.فيديو
worthy	a.جدير@a.مستحق
reveals	v.يكشف
architects	n+m.مهندسون معماريون
saints	n+m.قديسون
entrepreneur	n+m.رائد أعمال
carries	v.يحمل
sig	n+f.توقيع
freelance	a.مستقل@n+m.عمل حر
duo	n+m.ثنائي
excessive	a.مفرط
devon	n+m.ديفون
screensaver	n+m.شاشة توقف
helena	n+f.هيلينا
saves	v.يحفظ@v.ينقذ
regarded	v.اُعتبر@a.معتبَر
valuation	n+m.تقييم
unexpected	a.غير متوقع
cigarette	n+f.سيجارة
fog	n+m.ضباب
characteristic	n+f.خاصية@a.مميز
marion	n+f.ماريون
lobby	n+m.ردهة@n+f.جماعة ضغط
egyptian	a.مصري@n+m.مصري
tunisia	n+f.تونس
metallica	n+f.ميتاليكا
outlined	v.حُدّد@a.موضّح
consequently	ad.بالتالي
headline	n+m.عنوان رئيسي
treating	v.يعالج@v.يعامل
punch	n+f.لكمة@v.يلكم
appointments	n+f.مواعيد@n+f.تعيينات
str	n+f.سلسلة
gotta	v.يجب
cowboy	n+m.راعي بقر
narrative	n+f.سرد@a.سردي
bahrain	n+f.البحرين
enormous	a.ضخم@a.هائل
karma	n+f.كارما
consist	v.يتكون
betty	n+f.بيتي
queens	n+f.ملكات
academics	n+m.أكاديميون
pubs	n+f.حانات
quantitative	a.كمّي
lucas	n+m.لوكاس
screensavers	n+f.شاشات توقف
subdivision	n+m.تقسيم فرعي
tribes	n+f.قبائل
defeat	n+f.هزيمة@v.يهزم
clicks	n+f.نقرات@v.ينقر
distinction	n+m.تمييز@n+f.شهرة
honduras	n+f.هندوراس
naughty	a.شقي@a.مشاغب
hazards	n+f.مخاطر
insured	a.مؤمّن عليه@n+m.مؤمّن له
harper	n+m.هاربر
livestock	n+f.ماشية
exemption	n+m.إعفاء
tenant	n+m.مستأجر
sustainability	n+f.استدامة
cabinets	n+f.خزائن
tattoo	n+m.وشم
shake	v.يهز@n+f.هزة
algebra	n+m.جبر
shadows	n+f.ظلال
holly	n+f.هولي@n+m.بهشية
formatting	n+m.تنسيق
silly	a.سخيف
nutritional	a.غذائي
yea	int.نعم
mercy	n+f.رحمة
hartford	n+f.هارتفورد
freely	ad.بحرية
marcus	n+m.ماركوس
sunrise	n+m.شروق
wrapping	n+m.تغليف@v.يغلّف
mild	a.خفيف@a.معتدل
fur	n+m.فراء
nicaragua	n+f.نيكاراغوا
weblogs	n+f.مدونات
timeline	n+m.جدول زمني
tar	n+m.قطران
belongs	v.ينتمي
readily	ad.بسهولة@ad.بسرعة
affiliation	n+f.انتساب
soc	n+m.مجتمع
fence	n+m.سياج@v.يسيّج
nudist	n+m.عاري@a.عري
infinite	a.لانهائي
diana	n+f.ديانا
ensures	v.يضمن
relatives	n+m.أقارب
lindsay	n+f.ليندسي
clan	n+f.عشيرة
legally	ad.قانونياً
shame	n+m.عار@n+f.خجل
satisfactory	a.مرضٍ
revolutionary	a.ثوري@n+m.ثوري
bracelets	n+f.أساور
sync	n+m.مزامنة@v.يزامن
civilian	n+m.مدني@a.مدني
telephony	n+f.هاتفية
mesa	n+f.هضبة
fatal	a.قاتل@a.مميت
remedy	n+m.علاج@v.يعالج
realtors	n+m.سماسرة عقارات
breathing	n+m.تنفس@v.يتنفس
briefly	ad.باختصار
thickness	n+m.سُمك
adjustments	n+f.تعديلات
graphical	a.رسومي
genius	n+m.عبقري@n+f.عبقرية
discussing	v.يناقش
aerospace	n+m.فضاء جوي@a.فضائي
fighter	n+m.مقاتل@n+f.طائرة مقاتلة
meaningful	a.ذو معنى
flesh	n+m.لحم@n+m.جسد
retreat	n+m.انسحاب@v.ينسحب
adapted	a.مكيّف@v.كُيّف
barely	ad.بالكاد
wherever	conj.أينما
estates	n+f.عقارات@n+f.تركات
rug	n+f.سجادة
democrat	n+m.ديمقراطي
borough	n+f.بلدية
maintains	v.يحافظ
failing	v.يفشل@n+m.فشل
shortcuts	n+f.اختصارات
retained	v.اُحتفظ@a.محتفظ به
pamela	n+f.باميلا
andrews	n+m.أندروز
marble	n+m.رخام
extending	v.يمتد@v.يمدّ
jesse	n+m.جيسي
specifies	v.يحدّد
hull	n+m.هيكل@n+f.قشرة
surrey	n+f.ساري
briefing	n+f.إحاطة
dem	n+m.ديمقراطي
accreditation	n+m.اعتماد
blackberry	n+f.توت أسود@n+m.بلاك بيري
highland	n+f.مرتفعات@a.جبلي
meditation	n+m.تأمل
modular	a.وحدوي
microphone	n+m.ميكروفون
macedonia	n+f.مقدونيا
combining	v.يجمع@n+m.دمج
brandon	n+m.براندون
instrumental	a.آلي@a.فعّال
giants	n+m.عمالقة
organizing	v.ينظّم
shed	n+m.سقيفة@v.يسقط
balloon	n+m.بالون
moderators	n+m.مشرفون
winston	n+m.وينستون
memo	n+f.مذكرة
ham	n+m.لحم خنزير
solved	v.حُلّ@a.محلول
tide	n+m.مد@n+f.موجة
kazakhstan	n+f.كازاخستان
hawaiian	a.هاوايي@n+m.هاوايي
standings	n+f.ترتيبات
partition	n+m.قسم@n+f.حاجز
invisible	a.غير مرئي
consoles	n+f.أجهزة ألعاب@v.يواسي
funk	n+m.فانك@n+m.كآبة
qatar	n+f.قطر
magnet	n+m.مغناطيس
translations	n+f.ترجمات
porsche	n+f.بورشه
cayman	n+m.كايمان
jaguar	n+m.جاكوار@n+m.نمر أمريكي
reel	n+f.بكرة@v.يترنح
sheer	a.محض@a.شفاف
commodity	n+f.سلعة
posing	v.يتظاهر@v.يطرح
wang	n+m.وانغ
bind	v.يربط@n+m.ربط
thanksgiving	n+m.عيد الشكر
rand	n+m.راند
hopkins	n+m.هوبكنز
urgent	a.عاجل
guarantees	n+f.ضمانات@v.يضمن
infants	n+m.رضّع
gothic	a.قوطي
cylinder	n+f.أسطوانة
witch	n+f.ساحرة
buck	n+m.دولار@n+m.أيل
indication	n+f.إشارة@n+m.دليل
congratulations	n+f.تهانٍ
cohen	n+m.كوهين
puppy	n+m.جرو
kathy	n+f.كاثي
acre	n+m.فدان
graphs	n+f.رسوم بيانية
surround	v.يحيط@n+m.إحاطة
cigarettes	n+f.سجائر
revenge	n+m.انتقام@v.ينتقم
expires	v.ينتهي@v.تنقضي
enemies	n+m.أعداء
lows	n+f.انخفاضات
controllers	n+f.أجهزة تحكم@n+m.مراقبون
aqua	n+m.ماء@a.مائي
chen	n+m.تشين
emma	n+f.إيما
consultancy	n+f.استشارات
finances	n+f.موارد مالية@v.يموّل
accepts	v.يقبل
enjoying	v.يستمتع
conventions	n+f.اتفاقيات@n+f.مؤتمرات
eva	n+f.إيفا
patrol	n+f.دورية@v.يقوم بدورية
smell	n+f.رائحة@v.يشم
pest	n+f.آفة
coordinates	n+f.إحداثيات@v.ينسّق
carnival	n+m.كرنفال
roughly	ad.تقريباً@ad.بخشونة
sticker	n+m.ملصق
promises	n+f.وعود@v.يعد
responding	v.يستجيب
reef	n+f.شعاب مرجانية
physically	ad.جسدياً
divide	v.يقسم@n+m.انقسام
stakeholders	n+m.أصحاب مصلحة
consecutive	a.متتالٍ
cornell	n+f.كورنيل
satin	n+m.ساتان
bon	a.جيد
deserve	v.يستحق
attempting	v.يحاول
promo	n+m.ترويج
representations	n+f.تمثيلات
chan	n+m.تشان
worried	a.قلق@v.قلق
tunes	n+f.ألحان
garbage	n+f.قمامة
competing	v.يتنافس@a.متنافس
combines	v.يجمع
mas	n+m.ماس
beth	n+f.بيث
bradford	n+m.برادفورد
len	n+m.لين
phrases	n+f.عبارات
peninsula	n+f.شبه جزيرة
chelsea	n+f.تشيلسي
boring	a.ممل
reynolds	n+m.رينولدز
dom	n+m.دوم
jill	n+f.جيل
accurately	ad.بدقة
speeches	n+f.خطابات
reaches	v.يصل@n+f.مساحات
schema	n+m.مخطط
considers	v.يعتبر
sofa	n+f.أريكة
ministries	n+f.وزارات
vacancies	n+f.شواغر
quizzes	n+f.اختبارات قصيرة
parliamentary	a.برلماني
obj	n+m.كائن
prefix	n+f.بادئة
lucia	n+f.لوسيا
savannah	n+f.سافانا
barrel	n+m.برميل
typing	n+f.كتابة@v.يكتب
nerve	n+m.عصب
planets	n+f.كواكب
deficit	n+m.عجز
boulder	n+f.صخرة كبيرة
pointing	v.يشير@n+m.إشارة
renew	v.يجدّد
coupled	a.مقترن@v.اُقترن
viii	n+m.الثامن
myanmar	n+f.ميانمار
metadata	n+f.بيانات وصفية
harold	n+m.هارولد
circuits	n+f.دوائر
floppy	a.مرن@n+m.قرص مرن
texture	n+m.ملمس@n+f.نسيج
handbags	n+f.حقائب يد
jar	n+m.جرة@n+f.برطمان
somerset	n+f.سومرست
incurred	v.تكبّد@a.متكبَّد
acknowledge	v.يعترف@v.يقرّ
thoroughly	ad.بشكل كامل
antigua	n+f.أنتيغوا
nottingham	n+f.نوتنغهام
thunder	n+m.رعد
tent	n+f.خيمة
caution	n+m.حذر@v.يحذّر
identifies	v.يحدد
questionnaire	n+m.استبيان
