pl.अंगण	n+m.courtyards
कल्पनेनुसार	ad.conceivably
कल्पित	a.fancied@a.imagined
कल्पित कथा	n+f.fiction
कल्बर्टसन	n+m.culbertson
कल्याण	n+n.welfare@n+n.wellness
कल्ले	n+m+pl.gills
कल्ल्या	n+f.gill
कल्व्हर	n.culver
कळ दाब	n.keystrokes
कळ दाबणे	n+n.keying
कळप	n+m.drove@n+m.flock@n.flocks@n+m.herd@n.herds
कळप चरत आहे	v.herding
कळवणे	v.communicate@v.inform@vt.notify
कळस	n+m.climax@n+n.finials@n+m.pinnacles
कळस दगड	n+m.keystone
कळसाचा	a.climactic
कळसूत्री बाहुली	n+f.marionette
कळांयुक्त	a.keyed
कळी	n+f.bud@n+f.buds
कळीचा बिंदू	n+n.pivoting
कवच	n+m.crusts@n+f.hull@n+f.shell@n+m.shells
कवच असलेला	a.crusted
कवच काढलेला	a.shelled
कवच धरले	v.crusted
कवचधारी प्राणी	n+m+pl.crustaceans
कवटी	n+n.cranium@n+f.skull
कवटीतील	a.intracranial
कवटीसंबंधी	a.cranial
कवट्या	n.skulls
कवड	n+f.scab
कवळ	n+f.trowel
कविता	n+f.poem@n+f.poems@n+f.poetry
कवी	n+m.bard@n+m.bards@n+m.poet@n+m.poets
कव्हरेज	n+f.coverage
कष्ट	n+f.hardship@n+m.toil
कष्ट करणे	vi.fag@vi.toil@vi.travail
कष्ट करतो	v.labours
कष्टकारक	a.laborious
कष्टदायक	a.strenuous
कष्टदायक मेहनत	n+f.travail
कष्टपूर्वक	a.painstaking
कष्टाळू	a.industrious
कष्टाळू घोडा	n+m.workhorse
कष्टी	a.struggling
कसरत	n+n.tumbling@n+f.workout
कसरतपटू	n+m.acrobat@n+m.juggler@n+m+pl.tumblers
कसरतीचा	a.acrobatic
कसावा	n+f.cassava
कसून	a.thorough
कसे	ad.how@n.hows
कसेतरी	ad.somehow
कसेही	ad.anyways
कसोटी	n+f.touchstone
कस्टर	n.custer
कस्टर्ड	n+m.custard
कस्तुरी	n+m.musk
कहुना	n+m.kahuna
का	conj.wherefore@ad.why
काँक्रीट	n+m.concrete
काँग	n+m.kong
काँगो	n+n.congo
काँगोलीय	a.congolese
काँगोलीय व्यक्ती	n+m.congolese
काँग्रेस	n.cong@n+f.congress@n.congresses
काँग्रेसचे सदस्य	n.congressmen
काँग्रेसमन	n+m.congressman
कांगारू	n+m.kangaroo@n.kangaroos@n.roo
कांजिण्या	n+f.chickenpox@n+f.varicella
कांजी	n+m.kanji
कांट	n.kant
कांदळवन	n+m.mangrove
कांदळवने	n+m+pl.mangroves
कांदा	n+m.onion
कांदा वर्ग	n+m.allium
कांदे	n+m.onions
कांद्याची पात	n+f.chives
कांद्याचे प्रकार	n+m.shallots
कांस्य	n+m.bronze@a.bronze
काइमेरा	n+f.chimera
काईल	n+m.kyle
काउंटर	n+m.counter@n+m.counters
काउंटीव्यापी	a.countywide
काउबॉय	n+m.buckaroo@n+m.cowboy@n+m.cowboys
काउली	n.cowley
काओहसिउंग	n+m.kaohsiung
काकडी	n+f.cucumber@n.cucumbers
काका	n+m.uncle@n.uncles
काकू	n+f.aunt@n+f.aunty
काख	n+f.armpit
काखा	n.armpits
काखेखालचा	a.underarm
काखेखालून	ad.underarm
काखेचा	a.axillary
कागद	n+m.paper
कागद घडी कला	n+f.origami
कागदझाकणी	n+m.paperweights
कागदपत्र	n+n.filings
कागदपत्रे	n+m.dossier@n+m.papers@n+n.paperwork
कागदविरहित	a.paperless
कागदाचे गठ्ठे	n+m.reams
कागदाचे तुकडे	n+m.confetti
काग्लियारी	n+m.cagliari
काच	n+f.glass
काच बसवणारा	n+m.glazer
काचबिंदू	n+m.glaucoma
काचमय	a.vitreous
काचवाला	n+m.glassman
काचेचा	a.glazed
काचेची बाटली	n+m.decanters
काचेची भांडी	n+n.glassware@n+n.stemware
काचेची सुरई	n+f.carafe
काचेचे काम	n+n.glazing
काचेच्या तावदाना	n+f+pl.panes
काचेसारखा	a.glassy@a.vitreous
काजळ	n+m.kohl
काजळलेला	a.sooty
काजळी	n+m.smut@n+f.soot
काजवा	n+f.firefly
काजवे	n+m.fireflies
काजू	n+m.cashew@n+f.nuts
काजूसारखा	a.nutty
काझान	n.kazan
काटकसर	n+f.thrift
काटकसरी	a.frugal@a.sparing@a.thrifty
काटकसरीने	ad.sparingly
काटक्या	n.twigs
काटा	n+f.barb@n+m.bur@n+m.fork@n+m.pitchfork@n+m.prong@n+m.thorn
काटाकुली हाड	n+f.wishbone
काटे	n+f.barbs@n+f.forks@n.thorns
काटेकोरपणे	ad.meticulously@ad.religiously@ad.strictly
काटेरी	a.prickly@a.spiny@a.thorny
काटेरी झुडूप	n+f.bramble@n+m.briar@n+m.brier@n+m.thistle
काटोव्हिट्झ	n+n.katowice
काट्यांचा	a.barbed@a.pronged
काट्याची टोक	n+f.tine
काट्याच्या आकाराचा	a.forked
काठ	n+f.brim
काठ लावत आहे	v.rimming
काठमांडू	n.kathmandu
काठी	n+f.baton@n+f.cane@n+f.rod@n+f.rods@n+f.stick
काठ्या	n.canes@n+f.sticks
काडतरी	n+f.cartridge@n+f.cartridges
काडतूस	n+m.cartridge@n+m.cartridges
काडिझ	n.cadiz
काडी	n+f.twig
काड्या	n+f+pl.straws
काढणारा	n+m.remover
काढणारे	n.removers
काढणी	n+f.extraction
काढणे	vt.del@vt.draw@vt.draws@v.extract@vt.extracting@n+n.extractions@vt.extracts@v.raking@n+f.removals@vt.remove@v.retrieve@vt.strip@vt.stripping@vt.strips
काढत	v.drawing
काढता येण्याजोगा	a.removable
काढतो	v.abstracts
काढले	v.abstracted@v.drawn@v.drew@v.extracted@v.removed
काढलेला	a.drawn
काढून घेणे	v.divest@vt.elicit@vt.withdraw@v.withdrawn
काढून घेतले	v.elicited
काढून घेतलेला	a.elicited
काढून टाकणारा	a.removing
काढून टाकणे	n+n.culling@v.deleting@v.drain@v.eliminating@vt.excise@n+n.excision@vt.expel@vt.fire@n+n.firing@vt.gut@n+f.removal@vt.removes@v.removing@vt.sack
काढून टाकतो	v.fires
काढून टाकले	v.eliminated@v.fired@v.sacked
काढून टाकलेला	a.excised@a.uninstalled
कातडी	n+f.pelt
कातडी काढणे	v.flay
कातडी सोलणे	n+n.skinning
कातडी सोलत आहे	v.skinning
कातडे	n+f.hide@n+f.hides@n+m.skins
कातडे कमावणे	v.tanning
कातणारा	n+m.spinner
कातर	n+f.snip
कातरणारा	n+m.shearer
कातरणारे	n+m.cutters
कातरणे	n.cuttings@n+f.shear@n+n.shearing
कातरत आहे	v.shearing
कातले	vt.spun
कात्रण	n+f.clipping
कात्रणे	n+f.clippings
कात्री	n+m.clipper@n+f.clippers@n+f.scissor@n+f.scissors@n.shears
काथ्याचा	a.pewter
कादंबरी	n+f.novel
कादंबरीकार	n+m.novelist@n+m+pl.novelists
कादंबऱ्या	n+f.novels
कान	n+m.cannes@n+m.ear@n+m.ears@n.kahn@n+m.kan@n.lugs
कान किटवणे	v.dinning
कान देणे	n+n.eavesdropping
कान देत आहे	v.eavesdropping
कान नाक घसा शास्त्र	n+f.otolaryngology
कानदुखी	n+f.earache
कानपूर	n.kanpur
काना	n.cana@n+m.kana
कानाचा	a.eared
कानाचा दाह	n+f.otitis
कानाझावा	n+n.kanazawa
कानातले	n+f.earring@n+f.earrings
कानावर पडलेले	a.overheard
कानू	n.canoes
कानो	n.kano
काप	n+f.chips
कापड	n+n.cloth@n.cloths@n+f.fabric@n+n.fabrics@n+n.textiles
कापडाची सजावट	n+f.drapery
कापडाने झाकले	v.draped
कापडाने झाकलेला	a.draped
कापणारा	a.quivering@n+m.reaper@n+m.slasher@n+m.slicer
कापणारे साधन	n+f.cutter
कापणी	n+f.cutting@n+f.harvest@n+n.harvesting@n+f+pl.harvests@n+n.reaping@n+f.trimming@n.trims
कापणी करणारे	n+m.harvesters
कापणी करणे	v.harvest@vt.reap
कापणी करत आहे	v.reaping
कापणी करतो	v.harvests
कापणी केलेला	a.harvested
कापणी यंत्रे	n+f.harvesters
कापणीकर	n+m.harvester
कापणीयंत्र	n+m.harvester
कापणे	vt.butcher@vt.chop@v.chopped@n+n.chopping@n+f.chops@vt.clip@v.crop@vt.cropping@vt.cut@v.gash@v.hew@vt.mow@vt.scallop@vt.shear@vt.slash@vt.slice@n+n.slicing@vt.snip@vt.trimming@vt.trims@v.truncate
कापत	v.cutting
कापत आहे	v.chopping@v.mowing@v.slashing@v.slicing
कापतो	vt.chops@v.cuts@vt.saws@v.slashes@vt.slices@v.snips
कापरे	a.trembled
कापली	n+f.slice
कापले	v.excised@v.fell@v.mowed@v.slashed
कापलेला	a.clipped@a.cropped@a.cutaway@a.cutout@a.mowed@a.slashed@a.sliced@a.trimmed@a.truncated
कापलेले तुकडे	n.trimmings
कापूस	n+f.cotton
कापे	n+f.slices
कापो	n+m.capo
कापोटे	n.capote
काफिला	n+m.caravan
काफिले	n+m.convoys
काफ्का	n.kafka
काबुकी नाट्य	n+n.kabuki
काबुल	n.kabul
काबूत आणणे	v.subdue
काब्रेरा	n.cabrera
काम	n+m.errand@n+n.job@n.kama@n+n.work@n+n.works
काम करणे	v.functioning@vi.work
काम करत	v.working
काम करते	v.works
काम करतो	v.operates
काम केले	v.worked
कामगार	n+m.operative@n+m.worker@n+m.workers@n+m.workforce@n+m.workman@n.workmen
कामगार कपात	n+f.layoff@n.layoffs
कामगार संघटित	a.unionized
कामगिरी	n+f.accomplishments@n+f.achievements@n+f.performance@n+f.performances
कामचाटका	n+f.kamchatka
कामदेव	n+m.cupid
कामधंदे	n.errands
कामवासना	n+f.libido
कामसूत्र	n+n.kamasutra
कामाचा आठवडा	n+m.workweek
कामाचा दिवस	n+m.workday
कामाचा भार	n+m.workload@n.workloads
कामाची जागा	n+f.workplace
कामाचे दिवस	n+m.workdays
कामाचे मेज	n+m.workbench
कामाचो	n+m.camacho
कामावर ठेवणे	vt.employ
कामिकाझे	n+m.kamikaze
कामी	n.kami
कामुक	a.amorous@a.horny@a.lusty@a.randy@a.sensual
कामुक साहित्य	n+f.erotica
कामू	n.camus
कामे	n+m.assignments@n.chores
कामेहामेहा	n+m.kamehameha
कामोत्तेजक	n+m.aphrodisiac@a.aphrodisiac@a.erotic
काम्पो	n.campo
काम्ब्रिया	n.cambria
काय	pron.what@conj.whether
काय आहे	v.whats
काय चाललंय	int.sup
कायझर्सलाउटर्न	n+n.kaiserslautern
कायटेल	n+m.keitel
कायदा	n+m.act@n+m.jus@n+m.law@n+f.legislation@n+m.ordinance@n+m.statute
कायदा करणे	vt.enact
कायदा करत आहे	v.enacting
कायदा केला	v.enacted@v.legislated
कायदातज्ञ	n+m.jurist
कायदे	n+m.enactments@n+m.laws@n+m.statutes
कायदे करणे	v.legislate
कायदेकर्ता	n+m.lawmaker
कायदेकर्ते	n+m.lawmakers
कायदेतज्ञ	n+m.jurists
कायदेमंजूरी	n+n.enactment
कायदेमंडळ सदस्य	n+m.legislator
कायदेशीर	a.juridical@a.lawful@a.legal@a.legitimate@a.statutory
कायदेशीर अडथळा	n+f.estoppel
कायदेशीर करणे	v.legalize@v.legalizing
कायदेशीर केले	v.legalized
कायदेशीर केलेला	a.legalized
कायदेशीर बाबी	n.legals
कायदेशीरपणा	n+f.legitimacy
कायदेशीरपणे	ad.lawfully
कायदेशीररित्या	ad.legally@ad.legitimately
कायदेशीरीकरण	n+n.legalization
कायद्याने ठरवलेला	a.legislated
कायम गोठलेली जमीन	n+m.permafrost
कायम ठेवणे	vt.perpetuate@v.perpetuating@n+n.retention@vt.uphold
कायम ठेवले	v.perpetuated@vt.upheld
कायम नोकरीचा	a.tenured
कायम राखलेला	a.perpetuated
कायमचा	ad.forever
कायमचे	ad.permanently
कायमस्वरूपी	a.indelible@a.permanent
कायरल	a.chiral
कायरोप्रॅक्टिक	n+f.chiropractic
कायलिक्स	n+m.kylix
कायाक	n+f.kayak
कायाकिंग	n+n.kayaking
कायुगा	n.cayuga
कायोवा	n.kiowa
कार	n+m.car@n+m.carr
कारंजा	n+m.fountain
कारंजे	n+f.fountains
कारक	a.causative
कारकीर्द	n+f.career@n+f.careers
कारकून	n+m.clerk
कारखाना	n+f.factory@n+f.foundry@n+f.plant
कारखाने	n+f.factories
कारण	conj.because@n+n.cause@conj.cos@conj.coz@n+m.grounds@conj.inasmuch@n+f.rationale@n+n.reason@conj.seeing@conj.since
कारण सांगणे	v.ascribe
कारणमीमांसा	n+f.rationales
कारणात्मक	a.causal@a.causative
कारणीभूत	a.attributed@a.causing
कारणीभूत असणे	v.causing
कारणीभूत झाले	v.occasioned
कारणे	n+f.causation@n+n.causes@n+n.reasons
कारपूल	n+m.carpool
कारपूल करणे	vi.carpool
कारभार	n+f.stewardship
कारभारी	n+m.steward@n.stewards
कारमायकल	n.carmichael
कारवाँ	n+f.caravan
कारवां	n+m.caravans
कारस्थान	n+f.cabal@n+f.intrigue
कारस्थान करणे	vi.cabal
कारस्थानी	a.scheming
कारस्थाने	n+f.intrigues@n+f.machinations
कारा	n.cara@n.kara
काराकास	n.caracas
कारागिरी	n+f.craftsmanship@n+f.workmanship
कारागीर	n+m.artisan@n.artisans@n+m.craftsman@n.craftsmen@n+m.handyman
कारागृह	n+n.jailhouse@n+n.penitentiary
कारावास	n+n.imprisonment@n+f.incarceration
कारी	n.kari
कारुसो	n.caruso
कारू	n.karoo
कार्कसोन	n.carcassonne
कार्ट	n+m.cart@n+m.kart@n.karts
कार्टर	n+m.carter
कार्टराइट	n.cartwright
कार्टरेट	n+m.carteret
कार्टाजेना	n.cartagena
कार्टियर	n+m.cartier
कार्टून	n+m.cartoon
कार्टूश	n+m.cartouche
कार्टेल	n+m.cartel@n+m.cartels
कार्टेशियन	a.cartesian
कार्ड	n+n.card@n+n.cards
कार्ड केले	v.carded
कार्ड केलेला	a.carded
कार्डधारक	n+m.cardholder
कार्डिओ	n+n.cardio
कार्डिगन	n+m.cardigan@n.cardigans
कार्डिन	n.cardin
कार्डिनल	n+m.cardinal@n+m.cardinals
कार्डिफ	n+n.cardiff
कार्डेनास	n+m.cardenas
कार्थेज	n.carthage
कार्नार्वोन	n+m.carnarvon
कार्निव्हल	n+m.carnival
कार्निस	n+f.cornice
कार्नी	n.carney
कार्नेगी	n+m.carnegie
कार्नेलियन	n+m.carnelian
कार्नेशन	n+f.carnation@n.carnations
कार्प मासा	n+m.carp
कार्ब	n+m.carbs
कार्बन	n+m.carbon
कार्बनयुक्त	a.carbonated
कार्बनिक	a.carbonic
कार्बाइड	n+m.carbide
कार्बाइन	n+f.carbine
कार्बोनिल	n+m.carbonyl
कार्बोनेट	n+m.carbonate@n+n.carbonates
कार्बोनेट बनवणे	v.carbonates
कार्मार्थन	n+m.carmarthen
कार्मार्थनशायर	n.carmarthenshire
कार्मेन	n+f.carmen
कार्मेल	n+m.carmel
कार्मेलो	n+m.carmelo
कार्य	n+n.action@n+n.assignment@n+n.function@n+f.mission@n+n.oeuvre@n+n.task
कार्य करणे	vi.function
कार्य केले	v.functioned
कार्य सोपवणे	n+n.tasking
कार्य सोपवले	v.tasked
कार्यकक्षा	n+f.purview
कार्यकर्ता	n+m.activist
कार्यकर्तृत्व	n+m.activism
कार्यकर्ते	n+m.activists@n+m.cadres
कार्यकारणता	n+f.causality
कार्यकारी	n+m.executive@a.executive@n+m.executives
कार्यकारी अधिकारी	n+m.exec
कार्यकाळ	n+f.tenure
कार्यक्रम	n+m.event@n+m.events@n+f.gig@n+f.gigs@n+m.program@n+m.programme@n+m.programmes@n+m.programs@n+m.show
कार्यक्रमपत्रिका	n+f.docket
कार्यक्रमात्मक	a.programmatic
कार्यक्षम	a.competent@a.efficient
कार्यक्षमता	n+f.efficiencies@n+f.efficiency@n.functionalities@n+f.functionality
कार्यक्षमतेने	ad.efficiently@ad.expeditiously
कार्यक्षमपणे	ad.competently
कार्यक्षेत्र	n+m.jurisdiction@n+f.remit@n+m.workspace@n+m+pl.workspaces
कार्यक्षेत्र निश्चित करणे	vt.scoping
कार्यदल	n+f.taskforce
कार्यपत्रक	n+n.worksheet
कार्यपद्धती	n+m.mechanisms@n+f.methodology@n+f.procedure@n+f.procedures@n+f.workings
कार्यपुस्तिका	n+m.workbook@n.workbooks
कार्यप्रणाली	n+n.functioning
कार्यप्रवाह	n+m.workflow@n.workflows
कार्यरत	a.operating@a.operative@a.working
कार्यरत असतो	vt.mans
कार्यवस्तू	n+n.workpiece
कार्यवाहक	n+m.executor
कार्यवाही	n+f.assignment@n+f.operation@n+f.operations@n+f.ops@n+f.proceeding@n+f.proceedings
कार्यशाळा	n+f.workshop@n+f.workshops
कार्यसूची	n+f.agenda@n+f.agendas
कार्यस्थळ	n+n.workplace
कार्यस्थळे	n.workplaces
कार्यस्थानक	n+n.workstation@n+n.workstations
कार्यात्मक	a.functional@a.operational
कार्यात्मकदृष्ट्या	ad.functionally@ad.operationally
कार्यान्वयन	n+n.activation@n+f.actuation@n+n.commissioning
कार्यान्वित	a.actuated
कार्यान्वित करण्यायोग्य	a.executable
कार्यान्वित केले	v.actuated
कार्यालय	n+n.bureau@n+n.office
कार्यालये	n+n.offices
कार्ये	n+f.assignments@n+f.functions@n+n.tasks
कार्ल	n+m.carl@n+m.karl
कार्लटन	n+m.carlton
कार्लसन	n+m.carlson
कार्लस्रूहे	n.karlsruhe
कार्ला	n+f.carla@n.karla
कार्लाइल	n+m.carlisle@n.carlyle
कार्लिंग	n.carling
कार्लिन	n.carlin
कार्ली	n.carly
कार्लेटन	n.carleton
कार्लो	n+m.carlo@n.carlow
कार्लोस	n+m.carlos
कार्ल्सबॅड	n.carlsbad
कार्सन	n+m.carson
कार्सिनोमा	n+m.carcinoma
कार्स्ट	n+m.karst
काल	ad.yesterday@n+m.yesterday@n.yesterdays
कालक्रम	n+m.chron@n+f.chronology
कालक्रम नोंदवणे	n+n.chronicling
कालक्रमानुसार	ad.chronologically
कालबाह्य	a.antiquated@a.lapsed@a.obsolete@a.outdated
कालबाह्य करतो	v.obsoletes
कालबाह्य झाले	v.lapsed
कालमापन	n+f.timescale
कालरेषा	n+m.timeline@n.timelines
कालवड	n+f.heifer
कालवडी	n+f+pl.heifers
कालवा	n+m.canal
कालविचार	n+m.zeitgeist
कालवे	n+f.canals
कालसंबंधी	a.temporal
कालातीत	a.timeless
कालानुक्रमिक	a.chronological
कालामाझू	n.kalamazoo
कालावधी	n+f.duration@n.durations@n+m.span@n+m.spans
कालाहारी	n.kalahari
कालिकत	n.calicut
कालिकदृष्ट्या	ad.temporally
कालिमंतान	n+n.kalimantan
काली	n.cali@n+f.kali
कालेब	n.caleb
कालेस	n.calais
काल्डर	n.calder
काल्डवेल	n+m.caldwell
काल्डेरा	n+f.caldera
काल्डेरॉन	n+m.calderon
काल्पनिक	a.chimeric@a.fictional@a.fictitious@a.hypothetical@a.imaginary@a.notional
काल्ब	n+m.kalb
काळ	n+m.period@n+m.periods@n+m.tense@n+m.tenses@n+f.times@n+m.while
काळजी	n+f.care@n+f.cares@n+f.worries@n+f.worry
काळजी करणे	v.worry
काळजी करतो	vi.worries
काळजी घेणारा	n+m.carer@a.caring
काळजी घेणे	vt.care@vt.cares@v.caring@vt.mind@v.tend
काळजी घेत आहे	v.tending
काळजी घेतली	vi.cared@vi.tended
काळजी वाटली	v.worried
काळजीपूर्वक	a.careful@ad.carefully
काळजीपूर्वक निवडले	v.handpicked
काळजीवाहक	n+m.caregiver
काळजीवाहू	n+m.caretaker
काळा	a+m.black@a.blacks@a.blk@a.ebony@a.sooty
काळा केला	v.blackened
काळा झालेला	a.blackened
काळा पक्षी	n+m.blackbird
काळा माणूस	n+m.nigga
काळा रंग	n+m.black
काळी	a+f.black
काळी डोळी	n+f.shiner
काळी यादी	n+f.blacklist
काळे	a+n.black@n+m.kale
काळे करणे	v.darkening
काळोख	n+f.blackness
काळोखी	n+f.darkness
काळ्या करंजांचे	n+m.cassis
काळ्या केसांच्या स्त्रिया	n.brunettes
काळ्या बेरी	n+f.blackberries
काळ्या यादीत टाकणे	vt.blacklist
काळ्या यादीत टाकले	v.blacklisted
कावकाव करणे	v.caw
कावळा	n+m.crow@n+m.raven@n+m.rook
कावळे	n+m.crows@n+m.ravens
कावळ्याची ओरड	n+f.caw
कावा	n+m.kava
कावासाकी	n+m.kawasaki
कावीळ	n+f.jaundice
कावेबाजपणा	n+f.guile
काव्यखंड	n+m.canto
काव्यशास्त्र	n+f.poetics
काव्यात्मक	a.poetic@a.poetical
काश्मिरी	n+m.cashmere@n.kashmiri@a.kashmiri
काश्मीर	n+n.kashmir
काष्ठ वाद्य	n+m.woodwind
कासव	n+m.tortoise@n+m.turtle@n+m.turtles
कासवे	n+f.tortoises
कास्ट	n+m.casts
कास्टर	n+m.castor
कास्टिंग	n+f.casting
कास्टिलो	n.castillo
कास्पारोव	n+m.kasparov
काही	a.couple@a.few@a.some@pron.some
काही प्रमाणात	ad.partially@ad.partly
काहीच नाही	a.nil
काहीतरी	pron.something@n+m+pl.somethings
काहीसे	ad.somewhat
काहीही	pron.anything@pron.whatever@ad.whatsoever
काहीही नसणे	n+n.nothingness
काहीही नाही	pron.nothing
किंकाळणे	v.shriek
किंकाळी	n+f.scream@n+f.screech@n+f.shriek@n+f.yelp
किंगदाओ	n.qingdao
किंगवूड	n.kingwood
किंग्सटाउन	n+m.kingstown
किंग्सले	n.kingsley
किंग्स्टन	n+n.kingston
किंचाळणे	vi.scream@v.screaming@n+f.screams@v.screech@v.yelp@n+f.yip@vi.yip
किंचाळतो	vi.screams
किंचाळला	vi.screamed
किंचित	ad.faintly
किंबहुना	conj.rather
किंमत	n+f.cost@n+f.fetches@n+f.price@n+f.pricing@n+f.prise@n+f.value@n+f.worth
किंमत असलेला	a.priced
किंमत ठरवली	v.priced
किंमत मोजणे	n+n.costing
किंमती	n+f.prices@a.valued
किंवा	ad.alternatively@conj.either@conj.nor@conj.or
किऑस्क	n+m.kiosk
किओस्क	n.kiosks
किकऑफ	n+m.kickoff
किकबॉक्सिंग	n+n.kickboxing
किकर	n+m.kicker@n+m+pl.kickers
किकस्टार्ट	n+m.kickstart
किकस्टार्ट करणे	v.kickstart
किच	n+n.kitsch@a.kitsch
किचनर	n.kitchener
किचेन	n+m.fob
किट	n+m.kit@n+m.kits
किटली	n.kettles
किटी	n+f.kitty
किटोन	n+m.ketone@n+m.ketones
किड	n.kidd@n+m.kyd
किडकिडीत	a.gaunt
किडरमिन्स्टर	n.kidderminster
किडा	n+m.bug@n+m.worm
किडे	n+m.worms
किण्व	n+n.enzyme
किण्वन	n+m.ferment@n+f.fermentation
किण्वन होणे	v.ferment
किनरॉस	n.kinross
किना	n+f.kina
किनाबालू	n+m.kinabalu
किनार	n+f.edging@n+f.margin@n+f.rim
किनार लावली	v.hemmed
किनारपट्टी	n+f.coastline@n+m.littoral@n+f.shoreline
किनारपट्टीचा	a.coastal@a.littoral
किनारपट्ट्या	n+f.shorelines
किनारा	n+m.bank@n+m.beach@n+m.coast@n+m.edge@n+m.shore@n+m.strand@n+f.waterfront
किनारा शोधक	n+m.beachcomber
किनारी	a.fringe@n.fringes@n+f.rims
किनारे	n.coasts@n+m.edges@n+f.shores
किनाऱ्याचा	a.waterside
किनाऱ्याचा भाग	n+m.foreshore
किनाऱ्याजवळ	ad.inshore
किनाऱ्याजवळचा	a.inshore@a.nearshore
किनाऱ्यावर	ad.ashore@ad.onshore
किनाऱ्यावरील	a.offshore@a.onshore
किनी	n.kinney
किनेज	n+m.kinase
किनो	n.kino
किन्शासा	n.kinshasa
किन्से	n.kinsey
किपलिंग	n.kipling
किफायतशीर	a.economical@a.inexpensive
किम	n+m.kim
किमरू	n.cymru
किमा	n+m.mince
किमान	ad.least@a.min@a.minimal@n+m.minimum@a.minimum@n.minimums
किमान करणे	n+f.minimisation
किमान प्रमाणात	ad.minimally
किमानतावादी	n+m.minimalist@a.minimalist
किमी/ता	n.kph
किमो	n+n.chemo
किमोनो	n+m.kimono
किम्बर्ली	n+f.kimberly
किम्बर्ले	n.kimberley
किरकिर करणारा	a.squeaky
किरकिरा	a.fussy
किरकोळ	a.marginal@a.minor@a.nominal@a.retail@a.slight@a.trivial
किरकोळ तुकडा	n+m.splinter
किरकोळ वस्तू	n.sundries
किरकोळ वाद	n+m.quibble
किरकोळ वाद करणे	v.quibble
किरकोळ विकतो	vt.retails
किरकोळ विक्री	n+f.retail@n+f.retailing@n.retails
किरकोळ विक्रेता	n+m.retailer
किरकोळ विक्रेते	n+m.retailers
किरकोळपणे	ad.marginally
किरण	n+m.beam@n+m.ray
किरण टाकणे	v.beaming
किरण टाकले	v.beamed
किरणचित्रण	n+f.radiography
किरणचित्रणाचा	a.radiographic
किरणविज्ञान	n+n.radiology
किरणशास्त्रीय	a.radiologic
किरणांनी भरलेला	a.beamed
किरणे	n+f.rays
किरणोत्सर्ग	n+n.irradiation@n+n.radiation
किरणोत्सर्गता	n+f.radioactivity
किरणोत्सर्गी	a.radiative@a.radioactive@a.radiological
किरणोत्सर्जन केले	v.radiated
किरणोत्सर्जित	a.irradiated@a.radiated
किरणोत्सर्जित केले	v.irradiated
किरणोत्सारी समस्थानिक	n.radioisotopes@n+m.radionuclide
किरमिजी	n+m.carmine@a.carmine@a.crimson@a.scarlet@n+m.scarlet
किराणा	n+f.grocery
किराणा दुकान	n+m.grocery
किराणा माल	n+f.groceries
किराणा व्यापारी	n+m.grocer@n.grocers
किरिंग	n+m.keyring
किरिबाती	n+n.kiribati
किर्ककॅल्डी	n+n.kirkcaldy
किर्कलँड	n.kirkland
किर्कुक	n+n.kirkuk
किर्केगार्ड	n+m.kierkegaard
किर्गिझ	a.kyrgyz
किर्गिझ व्यक्ती	n+m.kyrgyz
किर्गिझस्तान	n+n.kyrgyzstan
किर्चनर	n+m.kirchner
किर्बी	n+m.kirby
किर्र आवाज	n+f.squeak
किर्र करणे	vi.squeak
किर्श	n+m.kirsch
किर्स्टन	n.kirsten
किलरॉय	n+m.kilroy
किलार्नी	n.killarney
किलिमांजारो	n.kilimanjaro
किलो	n+m.kilo
किलोकॅलरी	n.kcal
किलोग्रॅम	n+m.kilogram@n.kilograms
किलोबाइट	n+m+pl.kilobytes
किलोमीटर	n+m.kilometre@n+m.kilometres
किलोवॅट	n+m.kilowatt
किलोवॅट तास	n.kwh
किलोहर्ट्झ	n+m.khz
किल्केनी	n.kilkenny
किल्ट	n+m.kilt@n+m+pl.kilts
किल्डेअर	n.kildare
किल्मार्नॉक	n.kilmarnock
किल्ला	n+m.burg@n+m.castle@n+m.fort@n+m.fortress
किल्ली	n+f.key
किल्ली फिरवणारे	n+m.winder
किल्ले	n+m.castles@n+m.chateaux@n.forts
किल्लेबंदी	n+f.fortification
किळस	n+f.disgust
किळस वाटणे	vt.disgust
किळसवाणा	a.disgusting@a.sickening
किळसवाणे	a.revolting
किवानिस	n.kiwanis
किवी	n+m.kiwi
किश	n+m.kish@n+f.quiche
किशोर	n+m.adolescent@a.juvenile@n.juveniles@n+m.teen@n+m.teenagers@n+m.tween
किशोरपूर्व	n+m.preteen@a.preteen
किशोरवयीन	a.adolescent@n+m.adolescents@a.teenage@n+m.teenager@n+m.teens
किशोरी	n+f.teen
किस मार्क	n+m.hickey
किसणे	vt.grate
किसलेला	a.grated@a.minced
किसिंजर	n.kissinger
किस्मत	n+f.kismet
किस्सा	n+f.anecdote@n+m.tale
किस्से	n.anecdotes@n+m.tales
किस्सेदार	a.anecdotal
की	n+m.key@conj.that
की नाही	conj.whether
की स्ट्रोक	n+m.keystroke
कीटक	n+m.insect@n+m.insects@n+m.pest@n+m.pests
कीटकनाशक	n+m.insecticide@n+n.pesticide
कीटकनाशके	n.insecticides@n+n.pesticides
कीटकशास्त्र	n+f.entomology
कीटकशास्त्रीय	a.entomological
