-artig	a.natured
Grunzer	n+m.grunt@n+m.grunts
Gruppe	n+f.group@n+f.cluster@n+f.bunch@n+f.clumps@n+f.clump@n+f.huddle@n+f.cliques
Gruppen	n+f.groups@n+f.clusters@n+f.ensembles
Gruppensoftware	n+f.groupware
Gruppierung	n+f.grouping
Gruppierungen	n.groupings
Gruß	n+m.greeting@n+m.salute@n+m.salutes
Gräben	n+m.trenches@n.ditches
Gräber	n+n.graves@n+m.digger@n.tombs@n+m.diggers
Gräfin	n+f.countess
Gräser	n+n.grasses
Grätsche	n+f.straddle
Gräuel	n+m.abomination
Gräueltat	n+f.atrocity
Gräueltaten	n+f.atrocities
Grönland	n+n.greenland
Größe	n+f.size@n+f.height@n+f.greatness@n+f.stature@n+f.grandeur@n+m.biggie
Größe ändern	v.resize
Größen	n+f.sizes@n.greats
Größenbestimmung	n+f.sizing
Größenordnung	n+f.magnitude
Größenordnungen	n.magnitudes
Größenänderung	n+f.resizing
Grübchen	n+n.dimples
Grübeln	n+n.pondering@n+n.musing@n+f.ruminations
Grün	n+n.green@n+n.greens@n+n.vert@n+n.greenery
Gründe	n+m.reasons@n+m.grounds
Gründer	n+m.founder@n+m.founders
Gründerin	n+f.founder
Gründung	n+f.establishment@n+f.founding@n+f.incorporation
Grüne Minze	n+f.spearmint
Grünen	n+f.greens
Grünfläche	n+f.parkland
Grüngürtel	n+m.greenbelt
Grünkohl	n+m.kale
Grüße	n+m.regards@n+m.greetings
Guacamole	n+f.guacamole
Guadalajara	n.guadalajara
Guadalupe	n.guadalupe
Guadeloupe	n+n.guadeloupe
Guam	n+n.guam
Guan	n+m.guan
Guanajuato	n.guanajuato
Guangzhou	n.guangzhou
Guanin	n+n.guanine
Guantanamo	n.guantanamo
Guar	n+m.guar
Guaraní	n+m.guarani
Guatemala	n+n.guatemala
Guatemalteke	n+m.guatemalan
Guave	n+f.guava
Guayaquil	n+n.guayaquil
Gucci	n+m.gucci
Guelph	n.guelph
Guerilla	n+f.guerrilla@n+f.guerilla
Guerillakämpfer	n+m.guerrilla@n+m.guerilla
Guerillas	n.guerrillas
Guernsey	n.guernsey
Guerra	n.guerra
Guerrero	n.guerrero
Guevara	n.guevara
Guggenheim	n.guggenheim
Guide	n+m.guide
Guido	n.guido
Guillermo	n.guillermo
Guillotine	n+f.guillotine
Guin	n+m.guin
Guinea	n+n.guinea
Guinee	n+f.guineas
Guinness	n.guinness
Gujarat	n.gujarat
Gujarati	n+n.gujarati
Gulag	n+m.gulag
Gulasch	n+n.goulash
Gulden	n+m.guilder@n+m.florin@n+m.guilders
Gulliver	n.gulliver
Gully	n+m.gully
Gumbo	n+m.gumbo
Gummi	n+m.rubber@n+m.rubbers
Gummiband	n+n.elastic
Gunnar	n.gunnar
Gunst	n+f.favour@n.favours
Guppy	n+m.guppy
Gupta	n.gupta
Gur	n+m.gur
Gurke	n+f.cucumber@n+f.cucumbers
Gurney	n.gurney
Gurren	n+n.coo
Gurt	n+m.strap@n+m.harness
Gurtband	n+n.webbing@n+n.belting
Gurte	n+f.straps
Guru	n+m.guru
Gurus	n+m.gurus
Gus	n.gus
Guss	n+m.cast@n+m.casting
Gussteile	n+m.castings
Gustav	n.gustav@n.gustavus
Gustavo	n.gustavo
Gusto	n+m.gusto
Gut	n+n.good@n+n.estate
Gutachter	n+m.surveyor@n+m.surveyors@n+m.appraiser@n+m.assessor@n+m.referees@n+m.appraisers@n.assessors@n+m.valuers
Gutenberg	n+m.gutenberg
Guthaben	n+n.credit
Guthrie	n.guthrie
Gutierrez	n.gutierrez
Gutschein	n+m.coupon@n+m.voucher
Gutscheine	n+m.coupons@n+m.vouchers
Gutschrift	n+f.credit
Gutschriften	n+f.credits
Gutsherr	n+m.squire@n+m.squires
Gutshof	n+m.grange
Guyana	n+n.guyana@n+n.guiana
Guyaner	n+m.guyanese
Guzmán	n.guzman
Gwalior	n.gwalior
Gwen	n+f.gwen
Gwendolyn	n.gwendolyn
Gwent	n.gwent
Gwyn	n.gwyn
Gwynedd	n.gwynedd
Gymnasium	n+n.gymnasium
Gymnast	n+m.gymnasts
Gymnastik	n+f.gymnastics
Gynäkologe	n+m.obstetricians
Gynäkologie	n+f.gynaecology
Gyros	n+m.gyro
Gyroskop	n+n.gyroscope
Gyrus	n+m.gyrus
Gähnen	n+n.yawn
Gäle	n+m.gael
Gälisch	n+n.gaelic
Gämse	n+f.chamois
Gänge	n+f.gears@n.ducts@n.alleys
Gänger	n+m.goers
Gänschen	n+n.gosling
Gänse	n+f.geese
Gänseblümchen	n+f.daisy@n.daisies
Gänserich	n+m.gander
Gärfutter	n+n.silage
Gärten	n+m.gardens
Gärtner	n+m.gardener@n+m.gardeners
Gärtnereien	n+f.nurseries
Gärtnern	n+n.gardening
Gärung	n+f.fermentation@n+f.ferment
Gäste	n+m.guests@n+m.diners
Gästebuch	n+n.guestbook@n+n.guestbooks
Gästehaus	n+n.guesthouse
Gästehäuser	n.guesthouses
Gästezimmer	n.guestrooms
Gästin	n+f.guest
Gîte	n+n.gites@n+f.gite
Gönner	n+m.patron@n+m.patrons@n+m.benefactor@n+m.benefactors
Gör	n+m.brat
Göre	n+f.minx
Götter	n+m.gods@n.deities
Götterspeise	n+f.jellies
Göttin	n+f.goddess
Göttinnen	n.goddesses
Göttlichkeit	n+f.divinity
Götzen	n+m.idols
Götzendienst	n+m.idolatry
Götzenverehrung	n+f.idolatry
Gültigkeit	n+f.validity
Günstling	n+m.minion
Günstlingswirtschaft	n+f.patronage
Günter	n.gunter
Günther	n.gunther
Gürtel	n+m.belt@n+m.belts@n+m.girdle
Gürtelrose	n+f.shingles@n+f.zoster
Gürteltier	n+n.armadillo
Güte	n+f.goodness@n+f.kindness@n+f.benevolence
Güter	n+n.goods@n+f.wares
Güterverkehr	n+m.trucking
Güterwagen	n+m.boxcar
Gütesiegel	n+n.hallmark
Gütezeichen	n+n.hallmarks
HTS	n.hts
Haar	n+n.hair@n+m.haar
Haaransatz	n+m.hairline
Haarausfall	n+m.alopecia
Haarbüschel	n+f.tufts
Haare	n+f.hair@n+n.hairs
Haarlem	n+n.haarlem
Haarlinie	n+f.hairline
Haarnadel	n+f.hairpin
Haarpflege	n+f.haircare
Haarreif	n+m.headbands
Haarschneidemaschinen	n+f.clippers
Haarschnitt	n+m.haircut@n+m.haircuts
Haarspange	n+f.barrette
Haarspray	n+n.hairspray
Haartrockner	n+m.hairdryer@n+m.hairdryers
Haas	n.haas
Hab	n.hab
Habakuk	n.habakkuk
Haber	n.haber
Habgier	n+f.greed
Habicht	n+m.hawk
Habichte	n+m.hawks
Habitat	n+n.habitat
Habitate	n+n.habitats
Habseligkeiten	n+f.possessions@n.belongings
Hack	n+m.hack
Hackbeil	n.choppers@n+n.cleaver
Hackbraten	n+m.meatloaf
Hackbrett	n+n.dulcimer
Hackbällchen	n+m.meatball
Hacke	n+f.hoe
Hacken	n+n.hacking@n.hoes@n+n.chopping
Hacker	n+m.hacker@n+m.hackers
Hackfleisch	n+n.mince
Hackman	n.hackman
Hackney	n.hackney
Hacks	n+m.hacks
Hades	n.hades
Hadrian	n.hadrian
Hadron	n+n.hadron
Hadsch	n+m.hajj@n+m.haj
Hafen	n+m.port@n+m.haven@n+m.harbour@n+m.harbours
Hafenarbeiter	n.dockers
Hafenstadt	n+f.seaport
Hafenviertel	n+n.waterfront@n.docklands
Hafer	n+m.oats@n+m.oat
Haferbrei	n+m.oatmeal@n+m.porridge
Haferflocken	n+f.oats
Hafermehl	n+n.oatmeal
Haft	n+f.detention@n+f.confinement@n+f.detentions
Haftanstalt	n+f.jailhouse
Haftbefehl	n+m.warrant
Haftbefehle	n+m.warrants
Haftung	n+f.liability@n+f.adhesion
Haftungen	n+f.liabilities
Haftungsausschluss	n+m.disclaimer
Haftungsausschlüsse	n+m.disclaimers
Hagar	n.hagar
Hagel	n+m.hail
Hagen	n.hagen
Haggai	n.haggai
Haggis	n+m.haggis
Hahn	n+m.cock@n+m.tap@n.hahn@n+m.rooster@n+m.spigot@n+m.roosters
Hahnenfuß	n+m.buttercup
Hahnrei	n+m.cuckold
Hai	n+m.shark
Haie	n+m.sharks
Haifa	n.haifa
Haig	n.haig
Haiku	n+n.haiku
Hain	n+m.grove
Hainan	n.hainan
Haine	n+m.groves
Haiti	n+n.haiti
Haitianer	n+m.haitian
Haken	n+m.hook@n+m.tick@n+m.hooks@n+m.hitch@n+m.crook@n+n.hooking@n.pegs@n+m.snag@n+m.hitches@n+m.snags
Hakenkreuz	n+n.swastika
Hakim	n.hakim
Hakler	n+m.hooker
Hal	n+m.hal
Halbfinale	n.semifinals@n+n.semifinal@n+n.semis
Halbinsel	n+f.peninsula
Halbinsel-	a.peninsular
Halbkugel	n+f.hemisphere@n+f.hemispheres
Halbleiter	n+m.semiconductor@n+m.semiconductors
Halbmond	n+m.crescent
Halbschuh	n+m.oxfords
Halbwahrheit	n+f.factoid
Halbzeit	n+f.halftime
Hales	n.hales
Haley	n.haley
Halfter	n+n.holster@n+m.halter
Halifax	n+n.halifax
Hall	n+m.reverb
Halle	n+f.hall@n.halle@n+f.concourse
Halleluja	n+n.hallelujah
Hallen	a.indoor@n+f.halls
Halley	n.halley
Halliburton	n.halliburton
Hallo	n+n.hello
Halloween	n+n.halloween
Halluzination	n+f.hallucination
Halluzinationen	n.hallucinations
Halo	n+m.halo@n+m.halos
Halogen	n+n.halogen
Halogen-	a.halogen
Halogenid	n+n.halide
Hals	n+m.neck@n+m.throat
Hals-Nasen-Ohren-Heilkunde	n+f.otolaryngology
Halsabschneider	n+m.cutthroat
Halsband	n+n.collar@n+m.choker
Halsbänder	n+f.collars
Halsey	n.halsey
Halskette	n+f.necklace@n+f.choker@n+f.chokers
Halsketten	n+f.necklaces
Halskrause	n+f.ruff
Halslinie	n+f.neckline
Halsschlagader	n+f.carotid
Halt	n+m.hold@n+m.halt@n+m.footing@n+m.halts@n+m.foothold
Haltbarkeit	n+f.durability
Haltepunkt	n+m.breakpoints
Halter	n+m.holder@n+m.holders@n+m.retainer
Halterung	n+f.mount@n+f.bracket@n+f.mountings@n+f.retainers
Halterungen	n+f.mounts@n+m.brackets
Haltestelle	n+f.stop
Haltestellen	n+f.stops
Haltung	n+f.attitude@n+f.bearing@n+f.stance@n+f.posture@n+f.stances@n+f.postures@n+f.poise
Haltungen	n+f.attitudes
Haltungs-	a.postural@a.attitudinal
Halunke	n+m.scoundrels
Hama	n.hama
Hamas	n+f.hamas
Hamburg	n+n.hamburg
Hamburger	n+m.burger@n+m.burgers@n+m.hamburger@n.hamburgers
Hamill	n.hamill
Hamilton	n+m.hamilton
Hamiltonian	n+m.hamiltonian
Hamlet	n.hamlet
Hamlin	n.hamlin
Hamm	n.hamm
Hammel	n+m.wether
Hammelfleisch	n+n.mutton
Hammer	n+m.hammer@n+m.gavel
Hammerhai	n+m.hammerhead
Hammerkopf	n+m.hammerhead
Hammersmith	n.hammersmith
Hammerstein	n.hammerstein
Hammett	n+m.hammett
Hammond	n+m.hammond
Hampden	n.hampden
Hampshire	n+n.hampshire
Hampstead	n.hampstead
Hampton	n+n.hampton
Hamster	n+m.hamster@n.hamsters
Hamza	n.hamza
Han	n+m.han
Hancock	n+m.hancock
Hand	n+f.hand
Handapparate	n+m.handsets
Handarbeit	n+f.handicraft@n+f.needlework@n+f.needlecraft
Handarbeiten	n+f.handicrafts
Handball	n+m.handball
Handbuch	n+n.manual@n+n.handbook@n+n.guidebook@n+n.compendium
Handbücher	n+n.manuals@n+n.handbooks@n.guidebooks
Handel	n+m.trade@n+m.trading@n+m.commerce@n+m.bargain
Handelbarkeit	n+f.merchantability
Handeln	n+n.dealing
Handels-	a.mercantile
Handelsschiff	n+f.argosy
Handelsvertreter	n+m.salesman
Handfeuerwaffe	n+f.handgun
Handfeuerwaffen	n.handguns
Handfläche	n+f.palm
Handflächen	n+f.palms
Handgelenk	n+n.wrist
Handgelenke	n.wrists
Handgelenks-	a.carpal
Handgemenge	n+n.melee
Handgranate	n+f.grenade
Handhabbarkeit	n+f.manageability
Handhabung	n+f.handling
Handheld	n+n.handheld
Handhelds	n+n.handhelds
Handicap	n+n.handicap@n+n.handicaps
Handicapper	n+m.handicapper
Handicapvergabe	n+f.handicapping
Handlanger	n+m.sidekick@n.stooges@n+m.goons@n+m.henchmen
Handlauf	n+m.handrails
Handler	n+m.handler@n+m.handlers
Handlung	n+f.action@n+f.operation@n+f.plot@n+f.storyline
Handlungen	n+f.actions@n+f.acts@n+f.plots
Handoff	n+m.handoff
Handout	n+n.handout
Handschellen	n+f.cuffs@n.handcuffs
Handschlag	n+m.handshake
Handschrift	n+f.handwriting
Handschuh	n+m.glove
Handschuhe	n+m.gloves
Handstandüberschlag	n+m.handspring
Handtasche	n+f.purse@n+f.handbag
Handtaschen	n+f.handbags@n+f.purses
Handtuch	n+n.towel
Handtücher	n+n.towels
Handvoll	n+f.handful@n+f.fistful
Handwerk	n+n.craft
Handwerke	n+f.crafts
Handwerker	n+m.craftsman@n+m.artisan@n+m.handyman@n+m.artisans@n.craftsmen@n+m.workman@n.workmen@n+m.tradesmen@n+m.tradesman
Handwerkskunst	n+f.workmanship@n+f.craftsmanship
Handy	n+n.mobile@a.cellular@n+n.handy@n+n.cellphone
Handys	n+n.phones@n+n.mobiles@n+n.cellphones
Handzettel	n+n.handouts
Haney	n.haney
Hanf	n+m.hemp
Hang	n+m.slope@n+f.inclination@n+f.propensity@n+m.penchant@n+m.hillsides
Hangar	n+m.hangar
Hanglage	n+f.hillside
Hangul	n+n.hangul
Hangzhou	n.hangzhou
Hank	n+m.hank
Hanks	n.hanks
Hanna	n.hanna
Hannah	n+f.hannah
Hannibal	n.hannibal
Hannover	n+n.hanover@n.hannover
Hanoi	n.hanoi
Hans	n+m.hans
Hansard	n.hansard
Hansen	n+m.hansen
Hanson	n+m.hanson
Hantel	n+f.dumbbell@n+f.dumbbells
Hanukkah	n+n.hanukkah
Happening	n+n.happening
Harare	n.harare
Harbin	n.harbin
Hardball	n+m.hardball
Hardcore	n+m.hardcore
Hardcover	n+n.hardcover@n+n.hardback
Hardcover-	a.hardbound
Hardin	n.hardin
Harding	n.harding
Hardtop	n+n.hardtop
Hardware	n+f.hardware
Harem	n+m.harem
Harfe	n+f.harp@n+f.harps
Harfenspieler	n+m.harpers
Hargreaves	n.hargreaves
Haring	n+m.haring
Haringey	n.haringey
Harlan	n.harlan
Harland	n.harland
Harlekin	n+m.harlequin
Harlem	n.harlem
Harley	n+m.harley
Harlow	n.harlow
Harmon	n.harmon
Harmonie	n+f.harmony
Harmonien	n.harmonies
Harmonik	n+f.harmonics
Harmonische	n+f.harmonic
Harmonisierung	n+f.harmonization@n+f.harmonisation
Harn	n+m.urine
Harn-	a.urinary@a.uric
Harnröhre	n+f.urethra
Harnröhren-	a.urethral
Harnstoff	n+m.urea
Harnsäure-	a.uric
Harnuntersuchung	n+f.urinalysis
Harold	n+m.harold
Harper	n+m.harper
Harpune	n+f.harpoon
Harrell	n.harrell
Harrier	n.harriers@n+m.harrier
Harriet	n+f.harriet
Harriman	n.harriman
Harrington	n.harrington
Harris	n+m.harris
Harrisburg	n+n.harrisburg
Harrison	n+m.harrison
Harrods	n.harrods
Harrow	n.harrow
Harry	n+m.harry
Hart	n+m.hart
Harte	n.harte
Hartford	n+n.hartford
Hartgesottener	n+m.diehard
Hartholz	n+n.hardwood
Harthölzer	n.hardwoods
Hartley	n.hartley
Hartlöten	n+n.brazing
Hartman	n.hartman
Hartmann	n.hartmann
Hartriegel	n+m.dogwood
Harvard	n+n.harvard
Harvey	n+m.harvey
Harz	n+n.resin
Harze	n+n.resins
Hasbro	n.hasbro
Haschisch	n+n.hash
Hase	n+m.rabbit@n+m.hare@n+m.hares
Hasel	n+f.hazel
Haselnuss	n+f.hazelnut
Hash	n+m.hash@n+m.hashes
Hash-Berechnung	n+f.hashing
Hashing	n+n.hashing
Haskell	n.haskell
Hass	n+m.hate@n+m.hatred
Hasser	n.haters@n+m.hater
Hast	n+f.haste
Hastings	n+n.hastings
Hatcher	n.hatcher
Hatfield	n.hatfield
Hathaway	n.hathaway
Hatteras	n.hatteras
Hattie	n.hattie
Haube	n+f.bonnet
Hauben	n+f.hoods
Haubentaucher	n+m.grebe
Hauch	n+m.puff@n+m.puffs@n+m.whiff@n+m.tinge
Hauer	n+m.tusk
Haufen	n+m.lot@n+m.bunch@n+m.pile@n+m.heap@n+m.mound@n+m.piles@n.mounds@n.heaps@n+m.turd
Haufenwolke	n+f.cumulus
Haupt	a.chief
Haupt-	a.staple@a.mainline
Hauptact	n+m.headliner
Hauptakteur	n+m.kingpin
Hauptattraktion	n+m.headliners
Hauptbuch	n+n.ledger@n+n.ledgers
Hauptfigur	n+m.protagonist@n+m.protagonists
Hauptfächer	n+f.majors
Hauptgang	n+m.entree
Hauptgerichte	n.entrees
Hauptgewinn	n+m.jackpot
Hauptgewinne	n.jackpots
Hauptlast	n+f.brunt
Hauptmann	n+m.captain@n+m.centurion
Hauptplatine	n+f.motherboard
Hauptplatinen	n+f.motherboards
Hauptsendezeit	n+f.primetime
Hauptsitz	n+m.headquarters
Hauptstadt	n+f.capital
Hauptstraßen	n+f.highways
Hauptstrecke	n+f.mainline
Hauptstädte	n+f.capitals
Hauptstütze	n+f.mainstay
Hauptverkehrsstraße	n+f.thoroughfare
Haus	n+n.house@n+f.casa
Hausa	n+n.hausa
Hausarbeit	n+f.chore@n+f.housework
Hausarbeiten	n+f.chores
Hausaufgabe	n+f.schoolwork
Hausaufgaben	n+f.homework
Hausbesetzer	n+m.squatters
Hausbesetzung	n+n.squatting
Hausbesitzer	n+m.homeowners@n+m.homeowner
Hausboot	n+n.houseboat@n+n.houseboats
Hausfrau	n+f.housewife@n+f.homemaker@n+f.hausfrau@n+f.homemakers
Hausfrauen	n+f.housewives
Hausfriedensbruch	n+n.trespass@n+n.trespassing
Haushalt	n+m.budget@n+m.household@n+m.menage
Haushalte	n+m.households@n+f.budgets
Haushalts	a.household
Haushaltsgerät	n+f.appliance
Haushaltsgeräte	n+f.appliances
Haushaltsvorstand	n+m.householder
Haushaltsvorstände	n.householders
Haushaltswaren	n+f.housewares
Haushofmeister	n+m.majordomo
Haushälterin	n+f.housekeeper
Hausieren	n+m.hawking
Hausierer	n+m.hawker
Hausmann	n+m.homemaker@n+m.homemakers
Hausmeister	n+m.caretaker@n+m.housekeeper@n+m.janitor@n+m.custodians@n+m.caretakers@n+m.janitors
Hausmeister-	a.janitorial
Hausschuh	n+m.slipper
Hausschuhe	n+m.slippers
Haustier	n+n.pet
Haustiere	n+n.pets
Hausunterricht	n+m.homeschool@n+n.homeschooling
Hauswirtschaft	n+f.housekeeping
Haut	n+f.skin@n+f.slough
Haut-	a.cutaneous@a.dermal
Hautarzt	n+m.dermatologist@n+m.dermatologists
Hautausschlag	n+f.rashes
Haute Couture	n+f.couture
Hautentzündung	n+f.dermatitis
Hautpflege	n+f.skincare
Hautrötung	n+f.erythema
Havanna	n.havana@n.habana
Havel	n+m.havel
Havelock	n.havelock
Havering	n.havering
Hawaii	n+n.hawaii
Hawaiianer	n+m.hawaiian@n+m.hawaiians
Hawke	n.hawke
Hawking	n.hawking
Hawkins	n+m.hawkins
Haworth	n.haworth
Hawthorne	n.hawthorne
Haxe	n+f.shank@n+f.hock
Hayden	n.hayden
Haydn	n.haydn
Hayek	n.hayek
Hayes	n+m.hayes
Haynes	n.haynes
Hays	n.hays
Hayward	n.hayward
Haywood	n.haywood
Hazienda	n+f.hacienda
Header	n+m.header
Headhunter	n+m.headhunter@n+m.headhunters
Headset	n+n.headset
Headsets	n+n.headsets
Heaney	n+m.heaney
Hearst	n.hearst
Heath	n+m.heath
Heather	n+f.heather
Heb	n.heb
Hebamme	n+f.midwife
Hebammen	n.midwives
Hebammenkunst	n+f.midwifery
Hebel	n+m.lever@n+m.levers
Hebelwirkung	n+f.leverage@n+f.leverages
Heben	n+n.lifting
Heber	n+m.lifter@n+m.lifters
Hebezeug	n+m.hoists
Hebriden	n+f.hebrides
Hebron	n.hebron
Hebräer	n+m.hebrews
Hebräisch	n+n.hebrew
Hecht	n+m.pike@n+m.pikes
Heck	n+n.rear@n+n.stern
Hecke	n+f.hedge
Hecken	n+f.hedges
Heckenschere	n+f.shears
Heckenschütze	n+m.snipers
Heckklappe	n+f.tailgate
Heckklappenparty	n+n.tailgating
Hector	n.hector
Hedging	n+n.hedging
Hedonismus	n+m.hedonism
Heep	n.heep
Heer	n+n.army
Heere	n+n.armies
Hefe	n+f.yeast@n+f.lees@n+f.barm@n+f.yeasts
Hefner	n.hefner
Heft	n+n.booklet@n+m.hilt
Heftchen	n+n.booklets
Hefter	n+m.stapler@n+m.staplers
Heftklammern	n+f.staples
Hegel	n.hegel
Hegemonie	n+f.hegemony
Heide	n+f.heath@n+m.pagan@n+f.moor@n+m.heathen
Heidegger	n.heidegger
Heidekraut	n+n.heather
Heidelandschaft	n+f.moorland
Heidelbeere	n+f.blueberry@n+f.huckleberry
Heidelbeeren	n.blueberries
Heidelberg	n.heidelberg
Heiden	n.gentiles@n.pagans
Heidentum	n+n.paganism
Heidi	n+f.heidi
Heil-	a.remedial
Heiland	n+m.saviour
Heilbutt	n+m.halibut
Heiler	n+m.healer@n.healers
Heilige	n+f.saint@n+m.saints
Heilige Schrift	n+f.scripture@n+f.scriptures
Heiligenschein	n+m.halo@n+m.halos
Heiliger	n+m.saint
Heiligkeit	n+f.holiness@n+f.sanctity
Heiligtum	n+n.sanctuary@n+n.shrine@n+n.shrines@n+n.sanctuaries@n+n.sanctum
Heiligung	n+f.sanctification
Heilmittel	n+n.cure@n+n.remedy@n+n.remedies@n+f.therapeutics@n+f.cures
Heilung	n+f.healing@n+f.cure@n+f.curing
Heim	n+n.home
Heimat	n+f.home@n+f.homeland@n+f.homelands@n+f.motherland
Heimatland	n+n.homeland@n+n.homelands
Heimatstadt	n+f.hometown
Heime	n+n.homes
Heimkehr	n+f.homecoming
Heimlichkeit	n+f.stealth
Heimsuchung	n+f.visitation
Heimtücke	n+f.treachery
Heimwerker	n+m.handyman
Heine	n.heine
Heineken	n.heineken
Heinlein	n.heinlein
Heinrich	n.heinrich
Heinz	n.heinz
Heiratsvermittler	n+m.matchmaker
Heisenberg	n.heisenberg
Heisman	n.heisman
Heiterkeit	n+f.mirth@n+f.hilarity
Heizer	n+m.stoker
Heizgerät	n+m.heater
Heizgeräte	n+m.heaters
Heizkörper	n+m.radiator@n+m.radiators
Heizung	n+f.heating@n+f.heater
Heizungen	n+f.heaters
Heiße	n+f.hotties
Hektar	n+m.acres@n+n.hectare
Hektare	n+m.hectares
Hektik	n+f.hustle@n+f.flurry
Hel	n.hel
Held	n+m.hero
Helden	n+m.heroes
Heldenepos	n+n.epics
Heldenmut	n+m.valour
Heldentat	n+f.exploit
Heldentaten	n+f.exploits
Heldentum	n+m.heroism
Heldin	n+f.heroine@n+f.heroines
Helen	n+f.helen
Helena	n+f.helena
Helene	n.helene
Helfer	n+m.helper@n+m.helpers@n+m.aides
Helga	n.helga
Helikopter	n+m.helicopter@n+m.copter
Helios	n.helios
Helium	n+n.helium
Helix	n+f.helix@n+f.helices
Hellas	n.hellas
Heller	n.heller@n+m.sou
Helligkeit	n+f.brightness@n+f.luminosity@n+f.lightness@n+f.whiteness
Hellman	n.hellman
Hellseher	n.psychics@n+m.clairvoyant
Helm	n+m.helmet@n+m.helm
Helme	n+m.helmets@n.helms
Helmholtz	n.helmholtz
Helmut	n.helmut
Helpline	n+f.helpline
Helsingör	n.elsinore
Helsinki	n+n.helsinki
Hemd	n+n.shirt
Hemdchen	n+n.chemise
Hemden	n+n.shirts
Hemingway	n.hemingway
Hemisphäre	n+f.hemisphere@n+f.hemispheres
Hemmer	n+m.inhibitor@n+m.suppressant
Hemmstoffe	n+m.inhibitors@n+m.blockers
Hemmung	n+f.inhibition
Henderson	n+m.henderson
Hendrick	n.hendrick
Hendricks	n.hendricks
Hendrix	n+m.hendrix
Hengst	n+m.stallion
Hengste	n.stallions
Henker	n+m.hangman@n+m.executioner
Henley	n.henley
Henna	n+f.henna
Henne	n+f.hen
Hennen	n.hens
Hennessy	n.hennessy
Henri	n+m.henri
Henrietta	n.henrietta
Henrik	n.henrik
Henry	n+m.henry
Hensley	n.hensley
Henson	n.henson
Heparin	n+n.heparin
Hepatitis	n+f.hepatitis@n+f.hep
Hepatozyt	n+m.hepatocytes
Hepburn	n.hepburn
Hera	n.hera
Herabsetzung	n+f.derogation
Herabstufung	n+f.downgrade@n+f.downgrades
Heraldik	n+f.heraldry
Herangehensweise	n+f.approach
Herausforderer	n+m.challenger@n+m.challengers
Herausforderung	n+f.challenge@n+f.gauntlet
Herausforderungen	n+f.challenges
Herausgeber	n+m.eds
Herb	n+m.herb
Herbarium	n+n.herbarium
Herberge	n+f.hostel@n+f.auberge
Herbergen	n+f.inns@n+f.hostels
Herbert	n+m.herbert
Herbizid	n+n.herbicide
Herbizide	n+n.herbicides
Herbst	n+m.fall@n+m.autumn
Herd	n+m.cooker@n+m.stove@n+m.hearth
Herde	n+f.herd@n+f.flock@n+m.stoves@n+m.cookers@n+f.droves
Herden	n.herds@n.flocks
Herder	n.herder
Hereford	n.hereford
Herefordshire	n.herefordshire
Hering	n+m.herring
Heriot	n+m.heriot
Herkules	n.hercules
Herkunft	n+f.origin@n+f.ancestry@n+f.lineage@n+f.derivation@n+f.origination@n+f.provenance@n+f.parentage
Herkünfte	n+f.origins
Herleitung	n+f.derivations
Herman	n+m.herman
Hermann	n.hermann
Hermaphrodit	n+m.hermaphrodite
Herme	n+f.herm
Hermeneutik	n+f.hermeneutics
Hermes	n.hermes
Hermon	n+m.hermon
Hernandez	n.hernandez
Herne	n.herne
Hernie	n+f.hernia
Herodes	n.herod
Herodot	n+m.herodotus
Heroin	n+n.heroin
Heroismus	n+m.heroism
Herold	n+m.herald@n+m.heralds
Herpes	n+m.herpes
Herr	n+m.lord@n+m.sir@n+m.gentleman@n+m.mister@n+m.gent@n+m.monsieur@n+m.herr@n+m.sirs
Herren	n+m.lords@n+m.gentlemen@n+m.gents
Herrenbekleidung	n+f.menswear
Herrenfriseur	n+m.barbershop
Herrenhaus	n+n.manor@n+n.mansion
Herrenhäuser	n.mansions
Herrera	n.herrera
Herrick	n.herrick
Herrin	n+f.mistress@n+f.mistresses
Herrlichkeit	n+f.glory@n+f.splendour@n+f.glories@n+f.magnificence
Herrschaft	n+f.rule@n+f.domination@n+f.reign@n+f.dominion@n+f.lordship
Herrschaften	n.reigns
Herrschaftsgebiet	n+n.dominions
Herrscher	n+m.ruler@n+m.monarch@n+m.rulers@n+m.sovereigns
Herschel	n.herschel
Hershey	n.hershey
Hersteller	n+m.manufacturer@n+m.manufacturers@n+m.maker@n+m.makers@n+m.producers@n+m.mfr@n.mfrs@n.fabricators@n+m.fabricator
Herstellung	n+f.making@n+f.production@n+f.manufacturing@n+f.manufacture@n+f.mfg@n+f.fabrication@n+f.manuf@n+f.fabrications
Hertford	n.hertford
Hertfordshire	n+n.hertfordshire
Hertz	n+n.hertz
Herumschleicher	n+m.prowler
Herumtreiber	n+m.drifter
Herunterladen	n+n.downloading
Hervorhebung	n+f.highlighting
Herz	n+n.heart@n+n.cor
Herz-	a.cardiac@a.coronary@a.cardio
Herz-Kreislauf-	a.cardiovascular
Herzegowina	n+n.herzegovina@n+f.hercegovina
Herzeleid	n+n.heartbreak
Herzen	n+n.hearts
Herzensbrecher	n+m.heartbreaker
Herzinnenhautentzündung	n+f.endocarditis
Herzkammer	n+f.ventricle@n+f.ventricles
Herzklopfen	n+n.palpitations
Herzland	n+n.heartland
Herzmuskel	n+m.myocardium
Herzmuskel-	a.myocardial
Herzog	n+m.duke
Herzogin	n+f.duchess
